label	kind	number	page_pt	source	source_line	title	title_pt
thm:app-sel-f1	theorem	7.2	221	chapters/ch07_applications.tex	1076	Pairwise completion criterion	Critério de complementação pareada
prop:app-pater-scaling	proposition	G.3	421	appendices/app_g_maxent_algebra.tex	981	Exact hidden-fibre scaling condition	Condição exata de escalonamento da fibra oculta
thm:opacity-labels-cells	theorem	D.6	356	appendices/app_d_declaration_language.tex	228	Local cell diagnostics	Diagnóstico local das células
thm:opacity-current-general	theorem	D.7	356	appendices/app_d_declaration_language.tex	253	Exclusion by equal current markedness	Exclusão por igualdade da marcação corrente
prop:opacity-two-contrasts	proposition	D.8	357	appendices/app_d_declaration_language.tex	279	Threshold for an isolated comparison	Limiar de uma comparação isolada
thm:opacity-gauge	theorem	5.8	155	chapters/ch05_maxent.tex	1383	Gauge of the faithfulness exemption	Calibre da exceção da fidelidade
cor:opacity-lambda-identification	corollary	5.9	155	chapters/ch05_maxent.tex	1417	Non-identifiability by reparametrization	Uma não identificabilidade por reparametrização
lem:opacity-entry-bridge	lemma	3.4	81	chapters/ch03_opacity.tex	734	Bridge between the hand calculation and the typed semantics	Ponte entre o cálculo à mão e a semântica tipada
thm:opacity-modes	theorem	4.1	101	chapters/ch04_integration.tex	42	Destruction is the mode; creation is the attenuation	Carga contextual, atenuação e comparação local
prop:opacity-interaction-regions	proposition	4.2	103	chapters/ch04_integration.tex	108	Regions of finite interaction paradigms	Regiões dos paradigmas finitos de interação
thm:opacity-gua-selection	theorem	3.5	86	chapters/ch03_opacity.tex	1016	Joint sufficiency in the Gua fragment	Suficiência conjunta no fragmento de Gua
thm:opacity-productive	theorem	3.6	88	chapters/ch03_opacity.tex	1096	The eight selections survive the productive generator	Seleção nos oito produtos ampliados
thm:opacity-current-bound	theorem	3.8	92	chapters/ch03_opacity.tex	1310	Exclusion in the declared current comparator	Exclusão no comparador corrente declarado
thm:opacity-deletion-bound	theorem	3.9	93	chapters/ch03_opacity.tex	1356	Joint incompatibility without retention of $D$	Incompatibilidade conjunta sem a retenção de $D$
thm:opacity-lt-region	theorem	3.10	96	chapters/ch03_opacity.tex	1507	Selection and preservation in the Lithuanian fragment	Seleção e conservação no fragmento lituano
prop:opacity-lambda-region	proposition	3.7	89	chapters/ch03_opacity.tex	1181	The exact Gua region with free weights	A região exata de Gua com pesos livres
prop:opacity-russian-contrasts	proposition	5.13	164	chapters/ch05_maxent.tex	1862	Contrast equivalence under positive attenuation	Equivalência dos contrastes sob atenuação positiva
thm:int-grounding	theorem	2.5	64	chapters/ch02_calculus.tex	1268	Licensing, canonicity, and cost	Licenciamento, canonicidade e custo
thm:int-discovery	theorem	2.6	65	chapters/ch02_calculus.tex	1336	Discovery, re-registration, and the price of adaptation	Descoberta, novo registro e o preço da adaptação
prop:int-lambda	proposition	5.10	157	chapters/ch05_maxent.tex	1504	The attenuation parameter in the Gua fragment	O parâmetro de atenuação no fragmento de Gua
thm:int-definedness	theorem	3.3	74	chapters/ch03_opacity.tex	369	Definedness, discharge, and persistence from the syntax	Definição, pressão e persistência
thm:int-third-party	theorem	3.11	97	chapters/ch03_opacity.tex	1590	Third-party discharge	Extinção e descarga por terceiros
cor:int-excluded-family	corollary	3.12	98	chapters/ch03_opacity.tex	1617	The excluded family and the admitted family next to it	A família excluída e a família admitida ao lado dela
thm:int-bridge	proposition	D.9	358	appendices/app_d_declaration_language.tex	353	The bridge has exactly three parts	Comparação no fragmento de três origens
thm:int-resolver-law	theorem	D.10	360	appendices/app_d_declaration_language.tex	447	The 312 are the transfer set; the resolver law	Resolução e indexação nas políticas comparadas
prop:int-individuation	proposition	D.14	368	appendices/app_d_declaration_language.tex	840	Obligation individuation	Individuação da obrigação
thm:int-indexation	theorem	D.15	368	appendices/app_d_declaration_language.tex	867	Indexation collapse and the concavity of multiplicity	Colapso da indexação e concavidade da multiplicidade
prop:int-narrow-footprint	proposition	4.8	111	chapters/ch04_integration.tex	503	The narrow footprint is unsound	A pegada estreita não é sólida
def:int-footprint	definition	4.9	111	chapters/ch04_integration.tex	538	Corrected footprint	Pegada de leitura
thm:int-footprint-sound	theorem	4.10	111	chapters/ch04_integration.tex	552	Soundness	Solidez
thm:int-noninterference	theorem	4.11	113	chapters/ch04_integration.tex	591	Noninterference	Não interferência
thm:int-cycles	theorem	4.13	116	chapters/ch04_integration.tex	742	Cycles	Ciclos
prop:int-antilithuanian	proposition	4.4	107	chapters/ch04_integration.tex	324	Excluded interaction	Interação excluída
thm:int-inert	theorem	4.5	108	chapters/ch04_integration.tex	367	The inert cell and the cell beside it	A célula inerte e a célula ao lado dela
thm:int-transient	theorem	4.6	108	chapters/ch04_integration.tex	379	Dominance and absence of exclusive motivation	Dominância e ausência de motivação exclusiva
prop:int-arapaho	proposition	4.7	109	chapters/ch04_integration.tex	419	The verdict	Gatilho fornecido e gatilho intermediário
prop:int-winner-locality	proposition	4.12	114	chapters/ch04_integration.tex	644	The non-locality reaches selected outputs	A não localidade alcança as saídas selecionadas
prop:int-locality	proposition	4.14	118	chapters/ch04_integration.tex	821	Locality of contributions	Localidade das contribuições
thm:int-regular	theorem	4.15	119	chapters/ch04_integration.tex	865	Bounded variation and regularity	Regularidade sob custos comensuráveis
thm:int-bounded-feeding	theorem	4.16	120	chapters/ch04_integration.tex	925	Length-bounded feeding	Alimentação limitada em comprimento
prop:int-covering	proposition	4.17	120	chapters/ch04_integration.tex	953	Directional deletion as a covering	Apagamento direcional como cobertura
thm:int-majority	theorem	4.18	121	chapters/ch04_integration.tex	984	Ranking against weighting on unbounded inputs	Ranqueamento contra ponderação em inputs ilimitados
thm:int-identification	theorem	4.19	122	chapters/ch04_integration.tex	1052	Characteristic sample and identification boundary	Separação de quatro leitores
thm:int-specialisation	proposition	7.1	202	chapters/ch07_applications.tex	199	Specialization	Boa formação das declarações registradas
prop:int-huaian-odds	proposition	5.12	162	chapters/ch05_maxent.tex	1755	Observable restriction of contextual tone requirements	Uma restrição observável do requisito contextual
eq:app-fin-factor-kernel	lemma	164	295	appendices/app_b_finite_representation.tex	121	Factorization through the response kernel	Critério do núcleo
