result_id	status	used	declared_assumption_ids	used_assumption_ids	unused_assumption_ids	classification	foundation_dependencies
CALC-R08	PASS	true	CALC-R08.EXACT-FINITE-MODEL	CALC-R08.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R09	PASS	true	CALC-R09.EXACT-FINITE-MODEL	CALC-R09.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R10	PASS	true	CALC-R10.EXACT-FINITE-MODEL	CALC-R10.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R11	PASS	true	CALC-R11.EXACT-FINITE-MODEL	CALC-R11.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R12	PASS	true	CALC-R12.P-RANGE	CALC-R12.P-RANGE	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-REAL-001;FOUND-LIMIT-001
CALC-R13	PASS	true	CALC-R13.EXACT-FINITE-MODEL	CALC-R13.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R14	PASS	true	CALC-R14.EXACT-FINITE-MODEL	CALC-R14.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CALC-R15	PASS	true	CALC-R15.EXACT-FINITE-MODEL	CALC-R15.EXACT-FINITE-MODEL	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001
CHG-B1	PASS	true	CHG-B1.ASSUMPTION-MANIFEST	CHG-B1.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001
CHG-B10	PASS	true	CHG-B10.ASSUMPTION-MANIFEST	CHG-B10.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
CHG-B11	PASS	true	CHG-B11.ASSUMPTION-MANIFEST	CHG-B11.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-LIMIT-001
CHG-B12	PASS	true	CHG-B12.ASSUMPTION-MANIFEST	CHG-B12.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001;FOUND-LIMIT-001
CHG-B13	PASS	true	CHG-B13.ASSUMPTION-MANIFEST	CHG-B13.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-LIMIT-001
CHG-B14	PASS	true	CHG-B14.ASSUMPTION-MANIFEST	CHG-B14.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-LIMIT-001
CHG-B15	PASS	true	CHG-B15.ASSUMPTION-MANIFEST	CHG-B15.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-LIMIT-001
CHG-B16	PASS	true	CHG-B16.ASSUMPTION-MANIFEST	CHG-B16.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-LIMIT-001
CHG-B2	PASS	true	CHG-B2.ASSUMPTION-MANIFEST	CHG-B2.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
CHG-B3	PASS	true	CHG-B3.ASSUMPTION-MANIFEST	CHG-B3.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001
CHG-B4	PASS	true	CHG-B4.ASSUMPTION-MANIFEST	CHG-B4.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-LIMIT-001
CHG-B5	PASS	true	CHG-B5.ASSUMPTION-MANIFEST	CHG-B5.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001
CHG-B6	PASS	true	CHG-B6.ASSUMPTION-MANIFEST	CHG-B6.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
CHG-B7	PASS	true	CHG-B7.ASSUMPTION-MANIFEST	CHG-B7.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-LIMIT-001
CHG-B8	PASS	true	CHG-B8.ASSUMPTION-MANIFEST	CHG-B8.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001
CHG-B9	PASS	true	CHG-B9.ASSUMPTION-MANIFEST	CHG-B9.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-FINITE-001;FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
CTX-C1	PASS	true	CTX-C1.ASSUMPTION-MANIFEST	CTX-C1.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001
CTX-C2	PASS	true	CTX-C2.ASSUMPTION-MANIFEST	CTX-C2.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001
DATA-EN-R1	PASS	true	DATA-EN-R1.SOURCE-IDENTITY	DATA-EN-R1.SOURCE-IDENTITY	none	all declared assumptions used	FOUND-FINITE-001
DATA-PT-R1	PASS	true	DATA-PT-R1.SOURCE-IDENTITY	DATA-PT-R1.SOURCE-IDENTITY	none	all declared assumptions used	FOUND-FINITE-001
DATA-ZH-R1	PASS	true	DATA-ZH-R1.SOURCE-IDENTITY	DATA-ZH-R1.SOURCE-IDENTITY	none	all declared assumptions used	FOUND-FINITE-001
FIN-A1	PASS	true	FIN-A1.A1;FIN-A1.A2;FIN-A1.A3;FIN-A1.A4	FIN-A1.A1;FIN-A1.A2;FIN-A1.A3;FIN-A1.A4	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001
FIN-A2	PASS	true	FIN-A2.A1;FIN-A2.A2;FIN-A2.A3;FIN-A2.A4	FIN-A2.A1;FIN-A2.A2;FIN-A2.A3;FIN-A2.A4	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001
FIN-A3	PASS	true	FIN-A3.A1;FIN-A3.A2;FIN-A3.A3;FIN-A3.A4;FIN-A3.A5	FIN-A3.A1;FIN-A3.A2;FIN-A3.A3;FIN-A3.A4;FIN-A3.A5	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-MARKOV-001
FIN-A4	PASS	true	FIN-A4.A1;FIN-A4.A2;FIN-A4.A3;FIN-A4.A4	FIN-A4.A1;FIN-A4.A2;FIN-A4.A3;FIN-A4.A4	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001
FIN-A5	PASS	true	FIN-A5.A1;FIN-A5.A2;FIN-A5.A3;FIN-A5.A4;FIN-A5.A5;FIN-A5.A6;FIN-A5.A7	FIN-A5.A1;FIN-A5.A2;FIN-A5.A3;FIN-A5.A4;FIN-A5.A5;FIN-A5.A6;FIN-A5.A7	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-MARKOV-001;FOUND-TERMINATION-001
FIN-A6	PASS	true	FIN-A6.A1;FIN-A6.A2;FIN-A6.A3;FIN-A6.A4;FIN-A6.A5	FIN-A6.A1;FIN-A6.A2;FIN-A6.A3;FIN-A6.A4;FIN-A6.A5	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001;FOUND-TERMINATION-001
FIN-A7	PASS	true	FIN-A7.A1;FIN-A7.A2;FIN-A7.A3;FIN-A7.A4;FIN-A7.A5;FIN-A7.A6	FIN-A7.A1;FIN-A7.A2;FIN-A7.A3;FIN-A7.A4;FIN-A7.A5;FIN-A7.A6	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-FINITE-001;FOUND-PARTITION-001
FLUX-D1	PASS	true	FLUX-D1.ASSUMPTION-MANIFEST	FLUX-D1.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-ANALYTIC-001;FOUND-LIMIT-001;FOUND-LINEAR-001
FLUX-D2	PASS	true	FLUX-D2.ASSUMPTION-MANIFEST	FLUX-D2.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-ANALYTIC-001;FOUND-LIMIT-001;FOUND-LINEAR-001
FLUX-D3	PASS	true	FLUX-D3.ASSUMPTION-MANIFEST	FLUX-D3.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-ANALYTIC-001;FOUND-LIMIT-001;FOUND-LINEAR-001
FLUX-D4	PASS	true	FLUX-D4.ASSUMPTION-MANIFEST	FLUX-D4.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-ANALYTIC-001;FOUND-LIMIT-001;FOUND-LINEAR-001
FLUX-D5	PASS	true	FLUX-D5.ASSUMPTION-MANIFEST	FLUX-D5.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-ANALYTIC-001;FOUND-LIMIT-001;FOUND-LINEAR-001
MAX-G1	PASS	true	MAX-G1.DOMAIN	MAX-G1.DOMAIN	none	all declared assumptions used	FOUND-REAL-001;FOUND-POLYNOMIAL-001;FOUND-EXP-ACTIVITY-BIJECTION-001
MAX-G2	PASS	true	MAX-G2.DOMAIN	MAX-G2.DOMAIN	none	all declared assumptions used	FOUND-FINITE-001;FOUND-POLYNOMIAL-001
MAX-G3	PASS	true	MAX-G3.DOMAIN	MAX-G3.DOMAIN	none	all declared assumptions used	FOUND-REAL-001;FOUND-POLYNOMIAL-001;FOUND-COMPACT-POLY-MIN-001
MAX-G4	PASS	true	MAX-G4.DOMAIN	MAX-G4.DOMAIN	none	all declared assumptions used	FOUND-EXPONENTIAL-INDEPENDENCE-001
MAX-G5	PASS	true	MAX-G5.DOMAIN	MAX-G5.DOMAIN	none	all declared assumptions used	FOUND-LOGIC-001;FOUND-GORDAN-STIEMKE-001
MAX-G6	PASS	true	MAX-G6.DOMAIN	MAX-G6.DOMAIN	none	all declared assumptions used	FOUND-FINITE-001;FOUND-POLYNOMIAL-001
MAX-G7	PASS	true	MAX-G7.DOMAIN	MAX-G7.DOMAIN	none	all declared assumptions used	FOUND-POLYNOMIAL-001;FOUND-LINEAR-001
MAX-G8	PASS	true	MAX-G8.DOMAIN	MAX-G8.DOMAIN	none	all declared assumptions used	FOUND-ANALYTIC-ROLLE-MULTIPLICITY-001
MAX-G9	PASS	true	MAX-G9.DOMAIN	MAX-G9.DOMAIN	none	all declared assumptions used	FOUND-CONVEX-HULL-001;FOUND-RELATIVE-INTERIOR-SUM-001
SEL-F1	PASS	true	SEL-F1.ASSUMPTION-MANIFEST	SEL-F1.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-LINEAR-001;FOUND-MEASURE-001;FOUND-CONVEX-HULL-001
SEL-F2	PASS	true	SEL-F2.ASSUMPTION-MANIFEST	SEL-F2.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-LINEAR-001;FOUND-MEASURE-001;FOUND-CONVEX-HULL-001
SUP-E1	PASS	true	SUP-E1.ASSUMPTION-MANIFEST	SUP-E1.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-LIMIT-001
SUP-E2	PASS	true	SUP-E2.ASSUMPTION-MANIFEST	SUP-E2.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
SUP-E3	PASS	true	SUP-E3.ASSUMPTION-MANIFEST	SUP-E3.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
SUP-E4	PASS	true	SUP-E4.ASSUMPTION-MANIFEST	SUP-E4.ASSUMPTION-MANIFEST	none	all declared assumptions used	FOUND-REAL-001;FOUND-CONVEX-001;FOUND-KKT-001;FOUND-LIMIT-001
