result_id	status	satisfiable	anti_vacuity	assumption_count	model	model_sha256	method	proof_ids
CALC-R06	PASS	true	true	1	"{""CALC-R06.EXACT-FINITE-MODEL"":true}"	276de1dfa9c787fe5a14e27d298e17787bd3853d465b30030e81b7baae5c98f2	direct Boolean model	CALC-R06.ORBITS.01.PROOF
CALC-R07	PASS	true	true	1	"{""CALC-R07.EXACT-FINITE-MODEL"":true}"	8376ff8512c5c03c012597b1b882ab4a1a398dff6dba10c178bf6b05ba1038bc	direct Boolean model	CALC-R07.OUTBOUND.01.PROOF
CALC-R08	PASS	true	true	1	"{""CALC-R08.EXACT-FINITE-MODEL"":true}"	2302fd4bf1a06ea31043cadd301723ad6fd816845dfe18390c8ad8a72db5cff2	direct Boolean model	CALC-R08.STATUS.01.PROOF
CALC-R09	PASS	true	true	1	"{""CALC-R09.EXACT-FINITE-MODEL"":true}"	440ca08371ace4e39fa957da9c5bf56084bb25a50cb01ceb44f5106311ec567f	direct Boolean model	CALC-R09.MASS.01.PROOF
CALC-R10	PASS	true	true	1	"{""CALC-R10.EXACT-FINITE-MODEL"":true}"	208cf0dd8c9be68f50167878232f1c50564ead81118f38fab95e89bbd39b5b92	direct Boolean model	CALC-R10.CYCLE.01.PROOF
CALC-R11	PASS	true	true	1	"{""CALC-R11.EXACT-FINITE-MODEL"":true}"	654fd4c4b731bbd1e8ee003b743a26ba41dcc2387508e5fe2bc5dffde148d24c	direct Boolean model	CALC-R11.FIBRE.01.PROOF
CALC-R12	PASS	true	true	1	"{""p"":""1/2""}"	aca64c570e58b4effb3a297135b5e137590e77c617fda009fe9eb2be5ad87cad	exact interior rational model	CALC-R12.SERIES.01.PROOF
CALC-R13	PASS	true	true	1	"{""CALC-R13.EXACT-FINITE-MODEL"":true}"	cf40e338c138dbc9f288b34d1c01b49a6db458d6124619a3705b76cc4c9f8e1b	direct Boolean model	CALC-R13.MISMATCH.01.PROOF
CALC-R14	PASS	true	true	1	"{""CALC-R14.EXACT-FINITE-MODEL"":true}"	dd540ebd728658fb56f8a86c97742a2e99608c0b853013463d945e22db5fd743	direct Boolean model	CALC-R14.BELL.01.PROOF
CALC-R15	PASS	true	true	1	"{""CALC-R15.EXACT-FINITE-MODEL"":true}"	cc5ea78d5c102a0a2ecf4649051c783d4805a1426f77434fa54a3acf7318ddb7	direct Boolean model	CALC-R15.EXTERNAL.01.PROOF
CHG-B1	PASS	true	true	1	"{""N"":2,""h"":1,""m"":1,""p"":2,""x"":[""3/4"",""1/2""]}"	445a93a20b47ff73c565a32529e663141dbb395de8eb6d231d7afcc0a5f3cde2	proof-validated exact model	CHG-B1.CONVEX.03.SEMANTIC.PROOF;CHG-B1.METAPROOF.LEAN.PROOF;CHG-B1.RUNMIN.01.SEMANTIC.PROOF;CHG-B1.SIMPLEX.02.SEMANTIC.PROOF
CHG-B10	PASS	true	true	1	"{""N"":4,""p"":2,""rho_1"":5,""rho_2"":6}"	2ed3ed3c510fa1d09a218c39509a740f4dd27a414f448bd50a0809ddcaed687e	proof-validated exact model	CHG-B10.BOUNDARY.03.SEMANTIC.PROOF;CHG-B10.EXTENSION.02.SEMANTIC.PROOF;CHG-B10.METAPROOF.LEAN.PROOF;CHG-B10.MONOTONE.01.SEMANTIC.PROOF
CHG-B11	PASS	true	true	1	"{""K"":3,""a"":""3/5"",""b"":""1/2"",""c"":""2/5"",""p"":2,""rho"":5}"	a944bd838aea5a1a8eeb51050ee34e715f9eaa77e5175f5c6a4d52a16e86ca4e	proof-validated exact model	CHG-B11.METAPROOF.LEAN.PROOF;CHG-B11.PHASE.01.SEMANTIC.PROOF;CHG-B11.RATIO.02.SEMANTIC.PROOF;CHG-B11.SCALE.04.SEMANTIC.PROOF;CHG-B11.TRIPLE.03.SEMANTIC.PROOF
CHG-B12	PASS	true	true	1	"{""N"":1,""lattice_path"":{""J_n"":""10^n"",""n"":""positive_integer_to_infinity""},""p"":2}"	4e651423a76d419cb119a5d859b2e1ec75395e5f6d7cfcf3d0dd9177058eed53	proof-validated exact model	CHG-B12.DENOMINATOR.02.SEMANTIC.PROOF;CHG-B12.METAPROOF.LEAN.PROOF;CHG-B12.SEQUENCE.01.SEMANTIC.PROOF
CHG-B13	PASS	true	true	1	"{""p"":2,""rho_path"":{""n"":""positive_integer_to_infinity"",""rho_n"":""n""},""tau"":0,""u"":""1/3""}"	8db7687a248e49ddcd338fd0c848b66faf2984fdec8e33c2d3e45bcc20ab7378	proof-validated exact model	CHG-B13.DENSITY.02.SEMANTIC.PROOF;CHG-B13.METAPROOF.LEAN.PROOF;CHG-B13.PARABOLA.01.SEMANTIC.PROOF;CHG-B13.QUANTILE.03.SEMANTIC.PROOF
CHG-B14	PASS	true	true	1	"{""k"":4,""p"":2,""q"":1,""rho_boundary"":5,""rho_path"":""5+t"",""t"":""positive_to_zero""}"	6b1831fc04d6b2c9a02ecd7890896b558fe10b6a0fa743c9ce0f46439b055a8b	proof-validated exact model	CHG-B14.COEFFICIENT.02.SEMANTIC.PROOF;CHG-B14.CONTINUITY.03.SEMANTIC.PROOF;CHG-B14.METAPROOF.LEAN.PROOF;CHG-B14.REGIMES.01.SEMANTIC.PROOF
CHG-B15	PASS	true	true	1	"{""N"":2,""c"":0,""n"":""positive_integer_to_infinity"",""p_path"":""1+1/n"",""rho_path"":""2*(1+0/n)""}"	3468203706c052a170aa83253da3cd4b0be76a9506f7510e9b404e1927b54c31	proof-validated exact model	CHG-B15.EQUALITY.01.SEMANTIC.PROOF;CHG-B15.METAPROOF.LEAN.PROOF;CHG-B15.PATH.03.SEMANTIC.PROOF;CHG-B15.UPCAST.04.SEMANTIC.PROOF;CHG-B15.VARIATIONAL.02.SEMANTIC.PROOF
CHG-B16	PASS	true	true	1	"{""N"":2,""n"":""positive_integer_to_infinity"",""p_path"":""n+2"",""rho"":1}"	d00eb100eea733c685af94919a3bd7eacd656ffdfcb0a4bf281f8d4e66b04d7b	proof-validated exact model	CHG-B16.LAMBDA.01.SEMANTIC.PROOF;CHG-B16.METAPROOF.LEAN.PROOF;CHG-B16.NONCOMMUTE.05.SEMANTIC.PROOF;CHG-B16.ONEFOLLOWER.02.SEMANTIC.PROOF;CHG-B16.POSITIVITY.03.LEAN.PROOF;CHG-B16.SUPPORT.04.SEMANTIC.PROOF
CHG-B2	PASS	true	true	1	"{""N"":2,""h"":5,""m"":1,""p"":2}"	68a8182ee0a7de04da41c9262b406406550b55e74492ad4e5ae5b6b2952042c5	proof-validated exact model	CHG-B2.ANCHORS.05.SEMANTIC.PROOF;CHG-B2.ASSUMPTIONS.01.SEMANTIC.PROOF;CHG-B2.BOUNDARY.04.SEMANTIC.PROOF;CHG-B2.EXTENSION.03.SEMANTIC.PROOF;CHG-B2.KKT.02.SEMANTIC.PROOF;CHG-B2.METAPROOF.LEAN.PROOF
CHG-B3	PASS	true	true	1	"{""N"":3,""h"":21,""m"":1}"	bcc05d3d4737903f862cf4c36cb41878c0ecd22859ef4ce56611549af7c7bcfe	proof-validated exact model	CHG-B3.METAPROOF.LEAN.PROOF;CHG-B3.PROJECTION.04.SEMANTIC.PROOF;CHG-B3.SATURATED.02.SEMANTIC.PROOF;CHG-B3.SUPPORT.03.SEMANTIC.PROOF;CHG-B3.UNSATURATED.01.SEMANTIC.PROOF
CHG-B4	PASS	true	true	1	"{""h"":1,""m"":1,""phi"":{""formula"":""epsilon^2"",""ratio_limit"":0,""value_at_zero"":0}}"	5a3c2bfef78164fa955b40c3d5d3784459d60a65408d40b0e38999215c22f276	proof-validated exact model	CHG-B4.LITTLEO.01.SEMANTIC.PROOF;CHG-B4.METAPROOF.LEAN.PROOF;CHG-B4.QUADRATIC.02.SEMANTIC.PROOF
CHG-B5	PASS	true	true	1	"{""branch_models"":[{""N"":2,""h"":2,""m"":1,""p"":""1/2""},{""N"":2,""h"":2,""m"":1,""p"":1},{""N"":2,""h"":2,""m"":1,""p"":2}]}"	64c439530d6d039123f75541e8082c5f84d1c007edb629bdc52d34fd6a5b2d85	proof-validated exact model	CHG-B5.ENDPOINTS.01.SEMANTIC.PROOF;CHG-B5.METAPROOF.LEAN.PROOF;CHG-B5.REPAIR.02.SEMANTIC.PROOF
CHG-B6	PASS	true	true	1	"{""J"":10,""N"":1,""h"":10,""m"":1,""p"":2}"	07e391e5a4fbbd48fc8186daaf7b2cd61ad0a113db7803b7d188e002c456478a	proof-validated exact model	CHG-B6.CLASSIFY.01.SEMANTIC.PROOF;CHG-B6.METAPROOF.LEAN.PROOF;CHG-B6.ONESTEP.02.SEMANTIC.PROOF
CHG-B7	PASS	true	true	1	"{""h"":5,""lambda"":7,""m"":1,""p"":2}"	485355368b2b3e68238d769a44e7c374efaf8a88276202d1d56a3c738e559013	proof-validated exact model	CHG-B7.ASYMPTOTIC.03.SEMANTIC.PROOF;CHG-B7.GAUGE.01.SEMANTIC.PROOF;CHG-B7.METAPROOF.LEAN.PROOF;CHG-B7.PHASE.02.SEMANTIC.PROOF
CHG-B8	PASS	true	true	1	"{""N"":1,""delta"":""1/10"",""h"":10,""m"":1,""p"":2}"	da1aa23d932cbff641d3c43ab09185bfca1428251d9544a3889287c653458f3b	proof-validated exact model	CHG-B8.HORIZON.02.SEMANTIC.PROOF;CHG-B8.METAPROOF.LEAN.PROOF;CHG-B8.RATIO.01.SEMANTIC.PROOF
CHG-B9	PASS	true	true	1	"{""K"":4,""p"":2,""rho"":5,""tau"":0}"	17a594381c48d750289a0b0cd9582d4dec59b0e75665cfc12a4069c80dc5a676	proof-validated exact model	CHG-B9.GAPS.02.SEMANTIC.PROOF;CHG-B9.METAPROOF.LEAN.PROOF;CHG-B9.NORMALIZE.01.SEMANTIC.PROOF;CHG-B9.PROFILE.03.SEMANTIC.PROOF
CTX-C1	PASS	true	true	1	"{""K"":2,""endpoints"":[1,1],""p"":2,""rho"":""3/2"",""u"":""1/2""}"	afb98610fbabec62a7ff75e91609e50ed8dedb69190aa7b507cafc604c84e411	proof-validated exact model	CTX-C1.CARRIER.03.SEMANTIC.PROOF;CTX-C1.CENTER.02.SEMANTIC.PROOF;CTX-C1.GENERAL.04.LEAN.PROOF;CTX-C1.PHASE.01.SEMANTIC.PROOF
CTX-C2	PASS	true	true	1	"{""K"":2,""one_trigger"":[1,0],""opposite_triggers"":[1,1],""p"":2,""rho"":3}"	436aba84d017a21dd3a8aa2ef09b27ae004c12b3d7a8968bedcbfa2545ebe7b9	proof-validated exact model	CTX-C2.GENERAL.03.LEAN.PROOF;CTX-C2.ORDER.01.SEMANTIC.PROOF;CTX-C2.SHORTEST.02.SEMANTIC.PROOF
DATA-EN-R1	PASS	true	true	1	"{""validated_sources"":[{""key_fields"":[""speaker_split"",""tracker_id"",""start_offset_ms"",""end_offset_ms""],""path"":""data/source_ledgers/english_aggregate_source.tsv"",""required_fields"":[""speaker_split"",""tracker_id"",""start_offset_ms"",""end_offset_ms"",""paired_speaker_support"",""q_order_result""],""role"":""english_aggregate"",""row_count"":300,""sha256"":""24cf794450a5369c16994af2321ea0312d8b1e05f7f84ef5232c7354485166b3""},{""key_fields"":[""speaker_split"",""speaker_id"",""tracker_id"",""start_offset_ms"",""end_offset_ms""],""path"":""data/source_ledgers/english_speaker_scenario_source.tsv"",""required_fields"":[""speaker_split"",""speaker_id"",""tracker_id"",""start_offset_ms"",""end_offset_ms""],""role"":""english_speaker_scenarios"",""row_count"":14135,""sha256"":""f8d3f7806dbbbc26b78d3eb606a336ad102d3ccbd991aade39289a65daa81530""}]}"	cbb6495d721a451cd0128848d4ef9f539ae189d581f62f8ccddd36239e4bc44a	proof-replayed source identity model	DATA-EN-R1.REPLAY.01.PROOF
DATA-PT-R1	PASS	true	true	1	"{""validated_sources"":[{""key_fields"":[""window_id"",""band_lower_hz"",""score_variant""],""path"":""data/source_ledgers/portuguese_reduced_source.tsv"",""required_fields"":[""window_id"",""band_lower_hz"",""score_variant"",""median_delta"",""development_gate_pass""],""role"":""portuguese_cells"",""row_count"":72,""sha256"":""39a9042012f444a0e4e98b06c5b9fc0bdcfe475eac1ca015b430fdc3aedf4a20""}]}"	89145769d3a1d981f861be45f533ca5655f778dc01308df34ab719eb7627463b	proof-replayed source identity model	DATA-PT-R1.REPLAY.01.PROOF
DATA-ZH-R1	PASS	true	true	1	"{""validated_sources"":[{""key_fields"":[""inventory_number"",""target_hanzi_interval_1based"",""occurrence_ordinal_within_cell""],""path"":""data/source_ledgers/mandarin_corrected_source.tsv"",""required_fields"":[""inventory_number"",""target_hanzi_interval_1based"",""occurrence_ordinal_within_cell"",""construction_scope_class"",""original_decision"",""corrected_decision""],""role"":""mandarin_rows"",""row_count"":639,""sha256"":""8e010db5245c9436fb4bdd5d5f3791a2f4553915cb877c1218dcd70e1bf3c67c""}]}"	dddc87290e6fe70a99a08ccffbd630e16e20db4e5cd9a5432d8645feb71b64ed	proof-replayed source identity model	DATA-ZH-R1.REPLAY.01.PROOF
FIN-A1	PASS	true	true	4	"{""orbit_map"":[{""key"":[""a""],""value"":[1]}],""source_orbits"":[[""a""]],""target_orbits"":[[1]]}"	9a94369d4754bb4f43ff28a0adfb161fa8d93178ce5f67644ee885e9f507e2ac	proof-validated exact model	FIN-A1.EMPTY.02.FINITE-SEMANTIC.PROOF;FIN-A1.EQUIVARIANCE.03.FINITE-SEMANTIC.PROOF;FIN-A1.INVERSE.01.FINITE-SEMANTIC.PROOF;FIN-A1.METAPROOF.LEAN.PROOF;FIN-A1.NEGATIVE.04.FINITE-SEMANTIC.PROOF
FIN-A2	PASS	true	true	4	"{""action_lift"":{""id"":""id""},""raw_source"":[""a""],""raw_target"":[""c""],""source_policy"":{""id"":{""a"":""a""}},""target_policy"":{""id"":{""c"":""c""}},""weakening"":{""a"":""c""}}"	fb12eeaeb1eeb2d9c06216615ea25edd37bda79ce6deaabfe127b9ec2e2f2ccc	proof-validated exact model	FIN-A2.COHERENCE.03.FINITE-SEMANTIC.PROOF;FIN-A2.METAPROOF.LEAN.PROOF;FIN-A2.OUTBOUND.02.FINITE-SEMANTIC.PROOF;FIN-A2.PROOF.01.FINITE-SEMANTIC.PROOF
FIN-A3	PASS	true	true	5	"{""cast_registry"":[],""coefficient_domain"":""rational"",""readout"":""exact"",""state_graph"":{""edges"":[[""s"",""a"",""z""]],""states"":[""s"",""z""]},""stop_policy"":{""stops"":[""z""]}}"	85731c5fd1e9a2fefca7a3c12d1eb943cf2d8223535864a9016abd1bbed61d8b	proof-validated exact model	FIN-A3.EDGECASES.03.FINITE-SEMANTIC.PROOF;FIN-A3.MARGINALS.01.FINITE-SEMANTIC.PROOF;FIN-A3.METAPROOF.LEAN.PROOF;FIN-A3.NONTERMINATION.02.FINITE-SEMANTIC.PROOF;FIN-A3.TYPES.04.FINITE-SEMANTIC.PROOF
FIN-A4	PASS	true	true	4	"{""added_consumer"":{""a"":0},""consumer_family"":[{""a"":1}],""factor"":{""1"":0},""reachable"":[""a""],""reduction"":{""a"":""x""},""strong_query"":{""a"":1},""weak_query"":{""a"":0}}"	fe19cddbfd16e19df5280d54b3d6c0590a66a77b5160e431b9a4068f869d8f24	proof-validated exact model	FIN-A4.CONVERSES.02.FINITE-SEMANTIC.PROOF;FIN-A4.KERNEL.01.FINITE-SEMANTIC.PROOF;FIN-A4.METAPROOF.LEAN.PROOF;FIN-A4.REACHABLE.03.FINITE-SEMANTIC.PROOF
FIN-A5	PASS	true	true	7	"{""added_query"":{""a"":0},""carrier"":[""a""],""chain_maps"":[{""a"":""x""}],""deterministic_suffix"":{""x"":""y""},""markov_suffix"":{""x"":{""y"":""1""}},""product_query"":{""a"":[0]},""queries"":[{""a"":0}],""reduction"":{""a"":""x""}}"	96b0eb0542bd17d913d7b34cc32043a7bd6d1cce1ea354b48571331474f537a2	proof-validated exact model	FIN-A5.CARRIER.01.FINITE-SEMANTIC.PROOF;FIN-A5.COLLISIONS.08.FINITE-SEMANTIC.PROOF;FIN-A5.FACTORIZATION.04.FINITE-SEMANTIC.PROOF;FIN-A5.LOSS.03.FINITE-SEMANTIC.PROOF;FIN-A5.METAPROOF.LEAN.PROOF;FIN-A5.POSTPROCESS.06.FINITE-SEMANTIC.PROOF;FIN-A5.PRICE.02.FINITE-SEMANTIC.PROOF;FIN-A5.REDUNDANCY.05.FINITE-SEMANTIC.PROOF;FIN-A5.UNIVERSAL.07.FINITE-SEMANTIC.PROOF
FIN-A6	PASS	true	true	5	"{""carrier"":[""a""],""consumer_universe"":[{""a"":0}],""contextual_relations"":[[[""a"",""a""]]],""direct_kernel"":[[""a"",""a""]],""redundancy_closure"":{""empty"":[1],""one"":[1]},""signature"":{""identity"":{""a"":""a""}}}"	006b1bbf482f5213d1ee743dfe8592a0c023a9c2434578cd7a43be0805ae2f78	proof-validated exact model	FIN-A6.CLOSURE.02.FINITE-SEMANTIC.PROOF;FIN-A6.CONTEXT.05.FINITE-SEMANTIC.PROOF;FIN-A6.DEFINEDNESS.03.FINITE-SEMANTIC.PROOF;FIN-A6.LATTICE.01.FINITE-SEMANTIC.PROOF;FIN-A6.LATTICEOPS.04.FINITE-SEMANTIC.PROOF;FIN-A6.METAPROOF.LEAN.PROOF
FIN-A7	PASS	true	true	6	"{""code_map"":{""s"":""c""},""descent"":{""c"":""c""},""external_response"":{""ordered_source"":[""s""]},""interpretation"":{""c"":""answer""},""reachable_codes"":[""c""],""reader"":{""c"":""answer""},""semantic_equality"":""exact"",""source_section"":{""c"":""s""}}"	9de192f2dec98426aa6efb9be6a0bff18dbe6b3e1f9e86941c4bc6e4c08ad168	proof-validated exact model	FIN-A7.CODE.03.FINITE-SEMANTIC.PROOF;FIN-A7.DIAGRAM.01.FINITE-SEMANTIC.PROOF;FIN-A7.METAPROOF.LEAN.PROOF;FIN-A7.POSITIVESECTION.04.FINITE-SEMANTIC.PROOF;FIN-A7.REFUSALS.05.FINITE-SEMANTIC.PROOF;FIN-A7.SECTION.02.FINITE-SEMANTIC.PROOF
FLUX-D1	PASS	true	true	1	"{""epsilon"":""1/2"",""flux"":""identity_plus_periodic_sine"",""load"":1}"	4b8b344672a0d27df6e81f005b725cc8037d2ffcd51ff47487827c6f5d95c2bc	proof-validated exact model	FLUX-D1.NECESSITY.04.LEAN.PROOF;FLUX-D1.POTENTIAL.02.SEMANTIC.PROOF;FLUX-D1.REVERSAL.03.SEMANTIC.PROOF;FLUX-D1.SHIFT.01.SEMANTIC.PROOF
FLUX-D2	PASS	true	true	1	"{""common_period"":""1/105"",""continuous"":true,""loads"":[""1/5"",""1/21""]}"	bebd97db3574198edde0696dacb1766a142c06b4aba206c74d09e1edd08ae724	proof-validated exact model	FLUX-D2.PERIOD.01.SEMANTIC.PROOF;FLUX-D2.RIGIDITY.03.LEAN.PROOF;FLUX-D2.STAR.02.SEMANTIC.PROOF
FLUX-D3	PASS	true	true	1	"{""basis_dimension"":3,""epsilon"":""1/100"",""finite_ledger_rows"":2}"	c68f3e1c213d12f833ac8937f7180545d0174a9eb0d34a907bfe455d7b0a09ec	proof-validated exact model	FLUX-D3.GENERAL.04.LEAN.PROOF;FLUX-D3.MONOTONE.02.SEMANTIC.PROOF;FLUX-D3.NULL.01.SEMANTIC.PROOF;FLUX-D3.UNREGISTERED.03.SEMANTIC.PROOF
FLUX-D4	PASS	true	true	1	"{""contact_coefficient"":1,""contact_order"":1,""epsilon"":""1/100"",""p"":2}"	89ec5f8c5befb7f8d47bb14b4d42ba0a6c7fb844e6080bd0eda01d2ce977b2af	proof-validated exact model	FLUX-D4.COEFFICIENTS.02.SEMANTIC.PROOF;FLUX-D4.NORMALFORM.03.SEMANTIC.PROOF;FLUX-D4.PERTURBATION.04.LEAN.PROOF;FLUX-D4.SCALES.01.SEMANTIC.PROOF
FLUX-D5	PASS	true	true	1	"{""baseline"":""raised_cosine"",""connected_domain"":true,""finite_audit"":[0,""1/4"",""1/2""]}"	0182391a7802c7281fd7ad95585d3b74e88809882be466dc9ec26fe50cfe7789	proof-validated exact model	FLUX-D5.FINITE.01.SEMANTIC.PROOF;FLUX-D5.IDENTITY.03.LEAN.PROOF;FLUX-D5.RECURRENCE.02.SEMANTIC.PROOF
MAX-G1	PASS	true	true	1	"{""assignment"":{""A"":{""base_masses"":{""a0"":""2"",""a1"":""3"",""a2"":""5""},""candidates"":[""a0"",""a1"",""a2""],""consequence_map"":{""a0"":""a"",""a1"":""x"",""a2"":""x""},""constraint_count"":2,""named_candidate"":""a0"",""violation_rows"":{""a0"":[0,0],""a1"":[1,0],""a2"":[1,0]}},""B"":{""base_masses"":{""b0"":""7"",""b1"":""11""},""candidates"":[""b0"",""b1""],""consequence_map"":{""b0"":""b"",""b1"":""y""},""constraint_count"":2,""named_candidate"":""b0"",""violation_rows"":{""b0"":[0,0],""b1"":[0,2]}},""a"":""a0"",""b"":""b0""},""assumption_id"":""MAX-G1.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0"",""weight_domain"":""all_nonnegative_real_vectors_of_declared_dimension""}"	3c2ec87b310b18c6ea27cd940067c82062fd73ae69dfff1be4f42f6eacdcd022	kernel-validated exact finite MAX domain witness	MAX-G1.CARRIER.01.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G1.CLEAR.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G1.CLOSURE.03.LEAN.PROOF
