result_id	foundation_id	classification	source_citation	locally_replayed	proof_path	withdrawal_effect
CALC-R13	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R14	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R14	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CALC-R15	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
CALC-R15	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B1	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B10	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B10	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B10	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B10	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
CHG-B10	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B11	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B11	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B11	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B12	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B12	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B12	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B12	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B13	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B13	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B13	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B14	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B14	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B14	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B15	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B15	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B15	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B16	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B16	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B2	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B2	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B2	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B2	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
CHG-B2	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B3	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B3	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B3	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B3	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
CHG-B4	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B4	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B4	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B5	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B5	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B5	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B6	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B6	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B7	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B7	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B7	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CHG-B8	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B8	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B9	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
CHG-B9	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CHG-B9	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CHG-B9	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
CHG-B9	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
CTX-C1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CTX-C1	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CTX-C1	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
CTX-C2	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
CTX-C2	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
CTX-C2	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
DATA-EN-R1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
DATA-PT-R1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
DATA-ZH-R1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A1	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A1	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A1	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A2	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A2	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A2	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A3	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A3	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A3	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A3	FOUND-MARKOV-001	imported standard theorem	blackwell1951comparisonExperiments	false		Stochastic postprocessing nonrecovery is withdrawn.
FIN-A4	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A4	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A4	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A5	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A5	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A5	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A5	FOUND-MARKOV-001	imported standard theorem	blackwell1951comparisonExperiments	false		Stochastic postprocessing nonrecovery is withdrawn.
FIN-A5	FOUND-TERMINATION-001	derived foundation lemma	natural-number induction	true	formal/proofs/foundation/FOUND-TERMINATION-001.json	Termination proofs fail.
FIN-A6	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A6	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A6	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FIN-A6	FOUND-TERMINATION-001	derived foundation lemma	natural-number induction	true	formal/proofs/foundation/FOUND-TERMINATION-001.json	Termination proofs fail.
FIN-A7	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
FIN-A7	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
FIN-A7	FOUND-PARTITION-001	derived foundation lemma	kracht2003mathematicsLanguage	true	formal/proofs/foundation/FOUND-PARTITION-001.json	Finite carrier and quotient results fail.
FLUX-D1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
FLUX-D1	FOUND-ANALYTIC-001	imported standard theorem	standard real analysis	false		Analytic tomography and zero-count consequences are withdrawn.
FLUX-D1	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
FLUX-D1	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
FLUX-D2	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
FLUX-D2	FOUND-ANALYTIC-001	imported standard theorem	standard real analysis	false		Analytic tomography and zero-count consequences are withdrawn.
FLUX-D2	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
FLUX-D2	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
FLUX-D3	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
FLUX-D3	FOUND-ANALYTIC-001	imported standard theorem	standard real analysis	false		Analytic tomography and zero-count consequences are withdrawn.
FLUX-D3	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
FLUX-D3	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
FLUX-D4	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
FLUX-D4	FOUND-ANALYTIC-001	imported standard theorem	standard real analysis	false		Analytic tomography and zero-count consequences are withdrawn.
FLUX-D4	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
FLUX-D4	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
FLUX-D5	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
FLUX-D5	FOUND-ANALYTIC-001	imported standard theorem	standard real analysis	false		Analytic tomography and zero-count consequences are withdrawn.
FLUX-D5	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
FLUX-D5	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
MAX-G1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
MAX-G1	FOUND-POLYNOMIAL-001	derived foundation lemma	elementary polynomial algebra	true	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	Polynomial, Laurent-clearing, and ideal proofs fail.
MAX-G1	FOUND-EXP-ACTIVITY-BIJECTION-001	derived foundation lemma	standard real exponential and logarithm order-isomorphism	true	formal/proofs/foundation/FOUND-EXP-ACTIVITY-BIJECTION-001.json	MAX-G1 loses its exact carrier substitution, and every downstream activity-polynomial theorem must be stated directly in weight coordinates.
MAX-G2	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
MAX-G2	FOUND-POLYNOMIAL-001	derived foundation lemma	elementary polynomial algebra	true	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	Polynomial, Laurent-clearing, and ideal proofs fail.
MAX-G3	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
MAX-G3	FOUND-POLYNOMIAL-001	derived foundation lemma	elementary polynomial algebra	true	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	Polynomial, Laurent-clearing, and ideal proofs fail.
MAX-G3	FOUND-COMPACT-POLY-MIN-001	imported standard theorem	jeronimoPerrucciTsigaridas2013minimumPolynomialBasicClosedSemialgebraicSet, Theorem 1, pp. 1-2, specialized to [0,1]^N with d=4 and 2N defining inequalities	false		MAX-G3 retains its deterministic structural compiler and finite row and object-size bounds, but loses the source-unsatisfiability-to-universal-order semantic equivalence that uses the explicit compact-minimum guarantee.
MAX-G4	FOUND-EXPONENTIAL-INDEPENDENCE-001	imported standard theorem	standard finite exponential-polynomial linear independence theorem	false		The cross-input equality cell of MAX-G4 and the coefficient-annihilation step of MAX-G7 lose their global converse directions.
MAX-G5	FOUND-LOGIC-001	software-semantic assumption	standard logical semantics	false		All logical proofs become uninterpretable.
MAX-G5	FOUND-GORDAN-STIEMKE-001	imported standard theorem	Gordan-Stiemke theorem of alternatives, rational finite-dimensional specialization	false		MAX-G5 loses exhaustive cone-alternative closure; concrete supplied branches may remain valid but cannot be claimed complete for every rational matrix.
MAX-G6	FOUND-FINITE-001	derived foundation lemma	elementary finite mathematics	true	formal/proofs/foundation/FOUND-FINITE-001.json	Finite extensionality, enumeration, and carrier proofs fail.
MAX-G6	FOUND-POLYNOMIAL-001	derived foundation lemma	elementary polynomial algebra	true	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	Polynomial, Laurent-clearing, and ideal proofs fail.
MAX-G7	FOUND-POLYNOMIAL-001	derived foundation lemma	elementary polynomial algebra	true	formal/proofs/foundation/FOUND-POLYNOMIAL-001.json	Polynomial, Laurent-clearing, and ideal proofs fail.
MAX-G7	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
MAX-G8	FOUND-ANALYTIC-ROLLE-MULTIPLICITY-001	imported standard theorem	standard Rolle theorem with zero multiplicities and endpoint extension for real-analytic functions	false		MAX-G8 loses its universal q-1 contact-capacity upper bound, while finite constructed examples may still replay.
MAX-G9	FOUND-CONVEX-HULL-001	derived foundation lemma	standard finite-dimensional convex geometry	true	formal/proofs/foundation/FOUND-CONVEX-HULL-001.json	MAX-G9 loses the identification of each arbitrary-positive-mass response fibre with the relative interior of its row convex hull.
MAX-G9	FOUND-RELATIVE-INTERIOR-SUM-001	imported standard theorem	standard finite-dimensional relative-interior calculus for Minkowski sums	false		MAX-G9 retains the single-fibre image but loses the stated two-fibre response-envelope formula.
SEL-F1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
SEL-F1	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
SEL-F1	FOUND-MEASURE-001	imported standard theorem	standard geometric measure theory	false		Positive-probability selected-output conclusions are withdrawn.
SEL-F1	FOUND-CONVEX-HULL-001	derived foundation lemma	standard finite-dimensional convex geometry	true	formal/proofs/foundation/FOUND-CONVEX-HULL-001.json	MAX-G9 loses the identification of each arbitrary-positive-mass response fibre with the relative interior of its row convex hull.
SEL-F2	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
SEL-F2	FOUND-LINEAR-001	derived foundation lemma	standard finite-dimensional linear algebra	true	formal/proofs/foundation/FOUND-LINEAR-001.json	Finite nullspace and ledger nonidentification results fail.
SEL-F2	FOUND-MEASURE-001	imported standard theorem	standard geometric measure theory	false		Positive-probability selected-output conclusions are withdrawn.
SEL-F2	FOUND-CONVEX-HULL-001	derived foundation lemma	standard finite-dimensional convex geometry	true	formal/proofs/foundation/FOUND-CONVEX-HULL-001.json	MAX-G9 loses the identification of each arbitrary-positive-mass response fibre with the relative interior of its row convex hull.
SUP-E1	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
SUP-E1	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
SUP-E1	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
SUP-E2	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
SUP-E2	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
SUP-E2	FOUND-KKT-001	imported standard theorem	nocedalWright1999numerical	false		KKT-based global optimality claims are withdrawn.
SUP-E2	FOUND-LIMIT-001	imported standard theorem	standard real analysis	false		Limit and asymptotic conclusions are withdrawn.
SUP-E3	FOUND-REAL-001	axiom	standard real analysis	false		Every theorem quantified over the real numbers is withdrawn.
SUP-E3	FOUND-CONVEX-001	derived foundation lemma	nocedalWright1999numerical	true	formal/proofs/foundation/FOUND-CONVEX-001.json	Optimizer uniqueness conclusions fail unless reproved locally.
