mutant_id	result_id	mutated_formal_path	mutation_operator	scientific_meaning	expected_failing_proof_goal	equivalent_mutant_status	python_result	python_detail	wolfram_result
CALC-R06.MUTANT.CLAIM	CALC-R06	formal/mutants/CALC-R06.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R06.ORBITS.01	non_equivalent	KILLED	CALC-R06.ORBITS.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R07.MUTANT.CLAIM	CALC-R07	formal/mutants/CALC-R07.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R07.OUTBOUND.01	non_equivalent	KILLED	CALC-R07.OUTBOUND.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R08.MUTANT.CLAIM	CALC-R08	formal/mutants/CALC-R08.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R08.STATUS.01	non_equivalent	KILLED	CALC-R08.STATUS.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R09.MUTANT.CLAIM	CALC-R09	formal/mutants/CALC-R09.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R09.MASS.01	non_equivalent	KILLED	CALC-R09.MASS.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R10.MUTANT.CLAIM	CALC-R10	formal/mutants/CALC-R10.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R10.CYCLE.01	non_equivalent	KILLED	CALC-R10.CYCLE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R11.MUTANT.CLAIM	CALC-R11	formal/mutants/CALC-R11.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R11.FIBRE.01	non_equivalent	KILLED	CALC-R11.FIBRE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R12.MUTANT.CLAIM	CALC-R12	formal/mutants/CALC-R12.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R12.SERIES.01	non_equivalent	KILLED	CALC-R12.SERIES.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R13.MUTANT.CLAIM	CALC-R13	formal/mutants/CALC-R13.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R13.MISMATCH.01	non_equivalent	KILLED	CALC-R13.MISMATCH.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R14.MUTANT.CLAIM	CALC-R14	formal/mutants/CALC-R14.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R14.BELL.01	non_equivalent	KILLED	CALC-R14.BELL.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CALC-R15.MUTANT.CLAIM	CALC-R15	formal/mutants/CALC-R15.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CALC-R15.EXTERNAL.01	non_equivalent	KILLED	CALC-R15.EXTERNAL.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B1.MUTANT.CLAIM	CHG-B1	formal/mutants/CHG-B1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B1.RUNMIN.01	non_equivalent	KILLED	CHG-B1.CONVEX.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B1.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B1.RUNMIN.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B1.SIMPLEX.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B10.MUTANT.CLAIM	CHG-B10	formal/mutants/CHG-B10.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B10.MONOTONE.01	non_equivalent	KILLED	CHG-B10.BOUNDARY.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B10.EXTENSION.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B10.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B10.MONOTONE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B11.MUTANT.CLAIM	CHG-B11	formal/mutants/CHG-B11.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B11.PHASE.01	non_equivalent	KILLED	CHG-B11.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B11.PHASE.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B11.RATIO.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B11.SCALE.04.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B11.TRIPLE.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B12.MUTANT.CLAIM	CHG-B12	formal/mutants/CHG-B12.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B12.SEQUENCE.01	non_equivalent	KILLED	CHG-B12.DENOMINATOR.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B12.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B12.SEQUENCE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B13.MUTANT.CLAIM	CHG-B13	formal/mutants/CHG-B13.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B13.PARABOLA.01	non_equivalent	KILLED	CHG-B13.DENSITY.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B13.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B13.PARABOLA.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B13.QUANTILE.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B14.MUTANT.CLAIM	CHG-B14	formal/mutants/CHG-B14.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B14.REGIMES.01	non_equivalent	KILLED	CHG-B14.COEFFICIENT.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B14.CONTINUITY.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B14.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B14.REGIMES.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B15.MUTANT.CLAIM	CHG-B15	formal/mutants/CHG-B15.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B15.EQUALITY.01	non_equivalent	KILLED	CHG-B15.EQUALITY.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B15.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B15.PATH.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B15.UPCAST.04.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B15.VARIATIONAL.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B16.MUTANT.CLAIM	CHG-B16	formal/mutants/CHG-B16.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B16.LAMBDA.01	non_equivalent	KILLED	CHG-B16.LAMBDA.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B16.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B16.NONCOMMUTE.05.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B16.ONEFOLLOWER.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B16.POSITIVITY.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B16.SUPPORT.04.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B2.MUTANT.CLAIM	CHG-B2	formal/mutants/CHG-B2.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B2.ASSUMPTIONS.01	non_equivalent	KILLED	CHG-B2.ANCHORS.05.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B2.ASSUMPTIONS.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B2.BOUNDARY.04.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B2.EXTENSION.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B2.KKT.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B2.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B3.MUTANT.CLAIM	CHG-B3	formal/mutants/CHG-B3.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B3.UNSATURATED.01	non_equivalent	KILLED	CHG-B3.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B3.PROJECTION.04.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B3.SATURATED.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B3.SUPPORT.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B3.UNSATURATED.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B4.MUTANT.CLAIM	CHG-B4	formal/mutants/CHG-B4.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B4.LITTLEO.01	non_equivalent	KILLED	CHG-B4.LITTLEO.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B4.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B4.QUADRATIC.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B5.MUTANT.CLAIM	CHG-B5	formal/mutants/CHG-B5.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B5.ENDPOINTS.01	non_equivalent	KILLED	CHG-B5.ENDPOINTS.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B5.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B5.REPAIR.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B6.MUTANT.CLAIM	CHG-B6	formal/mutants/CHG-B6.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B6.CLASSIFY.01	non_equivalent	KILLED	CHG-B6.CLASSIFY.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B6.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B6.ONESTEP.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B7.MUTANT.CLAIM	CHG-B7	formal/mutants/CHG-B7.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B7.GAUGE.01	non_equivalent	KILLED	CHG-B7.ASYMPTOTIC.03.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B7.GAUGE.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B7.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B7.PHASE.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B8.MUTANT.CLAIM	CHG-B8	formal/mutants/CHG-B8.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B8.RATIO.01	non_equivalent	KILLED	CHG-B8.HORIZON.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B8.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B8.RATIO.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CHG-B9.MUTANT.CLAIM	CHG-B9	formal/mutants/CHG-B9.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CHG-B9.NORMALIZE.01	non_equivalent	KILLED	CHG-B9.GAPS.02.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B9.METAPROOF.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B9.NORMALIZE.01.mathematical.json: ValueError: Canonical result hash mismatch | CHG-B9.PROFILE.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CTX-C1.MUTANT.CLAIM	CTX-C1	formal/mutants/CTX-C1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CTX-C1.PHASE.01	non_equivalent	KILLED	CTX-C1.CARRIER.03.mathematical.json: ValueError: Canonical result hash mismatch | CTX-C1.CENTER.02.mathematical.json: ValueError: Canonical result hash mismatch | CTX-C1.GENERAL.04.mathematical.json: ValueError: Canonical result hash mismatch | CTX-C1.PHASE.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
CTX-C2.MUTANT.CLAIM	CTX-C2	formal/mutants/CTX-C2.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	CTX-C2.ORDER.01	non_equivalent	KILLED	CTX-C2.GENERAL.03.mathematical.json: ValueError: Canonical result hash mismatch | CTX-C2.ORDER.01.mathematical.json: ValueError: Canonical result hash mismatch | CTX-C2.SHORTEST.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
DATA-EN-R1.MUTANT.CLAIM	DATA-EN-R1	formal/mutants/DATA-EN-R1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	DATA-EN-R1.REPLAY.01	non_equivalent	KILLED	DATA-EN-R1.REPLAY.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
DATA-PT-R1.MUTANT.CLAIM	DATA-PT-R1	formal/mutants/DATA-PT-R1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	DATA-PT-R1.REPLAY.01	non_equivalent	KILLED	DATA-PT-R1.REPLAY.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
DATA-ZH-R1.MUTANT.CLAIM	DATA-ZH-R1	formal/mutants/DATA-ZH-R1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	DATA-ZH-R1.REPLAY.01	non_equivalent	KILLED	DATA-ZH-R1.REPLAY.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
FIN-A1.MUTANT.CLAIM	FIN-A1	formal/mutants/FIN-A1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A1.INVERSE.01	non_equivalent	KILLED	FIN-A1.EMPTY.02.mathematical.json: ValueError: Finite replay proof goal FIN-A1.INVERSE.01 differs from its trusted exact algorithm | FIN-A1.EQUIVARIANCE.03.mathematical.json: ValueError: Finite replay proof goal FIN-A1.INVERSE.01 differs from its trusted exact algorithm | FIN-A1.INVERSE.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A1.NEGATIVE.04.mathematical.json: ValueError: Finite replay proof goal FIN-A1.INVERSE.01 differs from its trusted exact algorithm	KILLED
FIN-A2.MUTANT.CLAIM	FIN-A2	formal/mutants/FIN-A2.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A2.PROOF.01	non_equivalent	KILLED	FIN-A2.COHERENCE.03.mathematical.json: ValueError: Finite replay proof goal FIN-A2.PROOF.01 differs from its trusted exact algorithm | FIN-A2.OUTBOUND.02.mathematical.json: ValueError: Finite replay proof goal FIN-A2.PROOF.01 differs from its trusted exact algorithm | FIN-A2.PROOF.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim	KILLED
FIN-A3.MUTANT.CLAIM	FIN-A3	formal/mutants/FIN-A3.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A3.MARGINALS.01	non_equivalent	KILLED	FIN-A3.EDGECASES.03.mathematical.json: ValueError: Finite replay proof goal FIN-A3.MARGINALS.01 differs from its trusted exact algorithm | FIN-A3.MARGINALS.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A3.NONTERMINATION.02.mathematical.json: ValueError: Finite replay proof goal FIN-A3.MARGINALS.01 differs from its trusted exact algorithm | FIN-A3.TYPES.04.mathematical.json: ValueError: Finite replay proof goal FIN-A3.MARGINALS.01 differs from its trusted exact algorithm	KILLED
FIN-A4.MUTANT.CLAIM	FIN-A4	formal/mutants/FIN-A4.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A4.KERNEL.01	non_equivalent	KILLED	FIN-A4.CONVERSES.02.mathematical.json: ValueError: Finite replay proof goal FIN-A4.KERNEL.01 differs from its trusted exact algorithm | FIN-A4.KERNEL.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A4.REACHABLE.03.mathematical.json: ValueError: Finite replay proof goal FIN-A4.KERNEL.01 differs from its trusted exact algorithm	KILLED
FIN-A5.MUTANT.CLAIM	FIN-A5	formal/mutants/FIN-A5.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A5.CARRIER.01	non_equivalent	KILLED	FIN-A5.CARRIER.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A5.COLLISIONS.08.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.FACTORIZATION.04.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.LOSS.03.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.POSTPROCESS.06.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.PRICE.02.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.REDUNDANCY.05.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm | FIN-A5.UNIVERSAL.07.mathematical.json: ValueError: Finite replay proof goal FIN-A5.CARRIER.01 differs from its trusted exact algorithm	KILLED
FIN-A6.MUTANT.CLAIM	FIN-A6	formal/mutants/FIN-A6.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A6.LATTICE.01	non_equivalent	KILLED	FIN-A6.CLOSURE.02.mathematical.json: ValueError: Finite replay proof goal FIN-A6.LATTICE.01 differs from its trusted exact algorithm | FIN-A6.CONTEXT.05.mathematical.json: ValueError: Finite replay proof goal FIN-A6.LATTICE.01 differs from its trusted exact algorithm | FIN-A6.DEFINEDNESS.03.mathematical.json: ValueError: Finite replay proof goal FIN-A6.LATTICE.01 differs from its trusted exact algorithm | FIN-A6.LATTICE.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A6.LATTICEOPS.04.mathematical.json: ValueError: Finite replay proof goal FIN-A6.LATTICE.01 differs from its trusted exact algorithm	KILLED
FIN-A7.MUTANT.CLAIM	FIN-A7	formal/mutants/FIN-A7.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FIN-A7.DIAGRAM.01	non_equivalent	KILLED	FIN-A7.CODE.03.mathematical.json: ValueError: Finite replay proof goal FIN-A7.DIAGRAM.01 differs from its trusted exact algorithm | FIN-A7.DIAGRAM.01.mathematical.json: ValueError: Proof record proves a different proof-goal claim | FIN-A7.POSITIVESECTION.04.mathematical.json: ValueError: Finite replay proof goal FIN-A7.DIAGRAM.01 differs from its trusted exact algorithm | FIN-A7.REFUSALS.05.mathematical.json: ValueError: Finite replay proof goal FIN-A7.DIAGRAM.01 differs from its trusted exact algorithm | FIN-A7.SECTION.02.mathematical.json: ValueError: Finite replay proof goal FIN-A7.DIAGRAM.01 differs from its trusted exact algorithm	KILLED
FLUX-D1.MUTANT.CLAIM	FLUX-D1	formal/mutants/FLUX-D1.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FLUX-D1.SHIFT.01	non_equivalent	KILLED	FLUX-D1.NECESSITY.04.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D1.POTENTIAL.02.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D1.REVERSAL.03.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D1.SHIFT.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
FLUX-D2.MUTANT.CLAIM	FLUX-D2	formal/mutants/FLUX-D2.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FLUX-D2.PERIOD.01	non_equivalent	KILLED	FLUX-D2.PERIOD.01.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D2.RIGIDITY.03.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D2.STAR.02.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
FLUX-D3.MUTANT.CLAIM	FLUX-D3	formal/mutants/FLUX-D3.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FLUX-D3.NULL.01	non_equivalent	KILLED	FLUX-D3.GENERAL.04.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D3.MONOTONE.02.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D3.NULL.01.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D3.UNREGISTERED.03.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
FLUX-D4.MUTANT.CLAIM	FLUX-D4	formal/mutants/FLUX-D4.MUTANT.CLAIM.json	result_specific_conclusion_change	Changes one registered exact consequence while retaining the result identity and declared scope.	FLUX-D4.SCALES.01	non_equivalent	KILLED	FLUX-D4.COEFFICIENTS.02.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D4.NORMALFORM.03.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D4.PERTURBATION.04.mathematical.json: ValueError: Canonical result hash mismatch | FLUX-D4.SCALES.01.mathematical.json: ValueError: Canonical result hash mismatch	KILLED
