result_id	formal_spec	formal_statement_sha256	result_registry_statement_sha256	english_statement_sha256	portuguese_statement_sha256	english_proof	portuguese_proof	wolfram_function	python_function	proof_glob
CALC-R10	formal/specs/CALC-R10.json	244e9b9fa58bd321ca67eea82759c70ea43929145ab3a84df757e2c477704d80	461bd57051a00a9893c31e6eabab7ad8421fabbbbe44df16503e4455ea7b1451	e6fef41bc9c706bcd18a97bfeac5ae5daf8e9d3cf544ba9ebf2e278e0fce7a62	2299dbd7a68a863d1e17869cbe3f667adfa149f98f144d34056957e695980cbc	proofs/en/results/CALC-R10.tex	proofs/pt_BR/results/CALC-R10.tex	"RunSpecification[""CALC-R10""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R10.*.json
CALC-R11	formal/specs/CALC-R11.json	6d3fe1eef5d390df53e05f322362322a83fe793486d3feb7d98d0850ce6bb7d1	1b7e243ff97c38d1632e6b339c1946af9d5fe52a51fe7e741711dd33925c1193	e9fc688562bfc3402ce849c34df21741549b623155850d37744536151155ced8	55599b3955feef8017e2bad4c980a998537696c7a42a1cb240700b1d85e080aa	proofs/en/results/CALC-R11.tex	proofs/pt_BR/results/CALC-R11.tex	"RunSpecification[""CALC-R11""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R11.*.json
CALC-R12	formal/specs/CALC-R12.json	383e649afef1468cfd4916e07e4bfbfc3160d2a0fa1d75d627e23f7801ea9410	2a2d979b83e60d360d6a328684a77497ca464a8c7434d125f82ff15a8ce4b38d	f630230b9f98e56eb656a9b7480c10e285c439c62b877c554618071ef83b919c	e4be391f13e52b69f37ad4f0e595aa7edfd27277bd6a14dedcbb8a700c18d882	proofs/en/results/CALC-R12.tex	proofs/pt_BR/results/CALC-R12.tex	"RunSpecification[""CALC-R12""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R12.*.json
CALC-R13	formal/specs/CALC-R13.json	92a76606d7bdee95d7032a8af8211b27c8032a1d9eeaff288c9869fb0356e689	e78fcc5fcb12322951a795f7c4d91cc1bd2a9a27c3f4e4b11704dae0d545defe	cc142a81351906aa287683352b2af6929714e2fab95cfc6bf092c96f23b923a9	9d5874aab864827bdd824d6a299b40906dbc079a408b3d8bac166ea8ba118cae	proofs/en/results/CALC-R13.tex	proofs/pt_BR/results/CALC-R13.tex	"RunSpecification[""CALC-R13""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R13.*.json
CALC-R14	formal/specs/CALC-R14.json	433ee8da5c7a3c371ca8470c1ec307248d4387ec6512986a45ceb6297bd28382	809342c4863219de030306e5697aae35eab8411af69bc6b004b1707cad0bc09e	04ac2b7056203de6fa492a3b0abb10c31568e071b09dd5ebddc936befa149389	b15a7d5dee0af50a6714f986f7bd79a024729a6d788cd8b96a26b2e8e984d70f	proofs/en/results/CALC-R14.tex	proofs/pt_BR/results/CALC-R14.tex	"RunSpecification[""CALC-R14""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R14.*.json
CALC-R15	formal/specs/CALC-R15.json	c79c6ff300b75f778f47bf65b53d3e5254748b91a6137736bee703647442118e	dca2921679b79f060fe6097ad407e026c3ed50eeded96840ad9a7615bf3d3e9e	1b318604548c994b7da3592d2395092e41ae9ce38a2842710d74d2f56375dc66	60ef8ebf7d1bbdfb575c6c1ec3545f86d5f877be3beb8165b4f884c949326638	proofs/en/results/CALC-R15.tex	proofs/pt_BR/results/CALC-R15.tex	"RunSpecification[""CALC-R15""]"	second_order_proof_kernel.CheckProof	formal/proofs/CALC-R15.*.json
FIN-A1	formal/specs/FIN-A1.json	c17a61ef74c408f6ff99ff0a7e6e4ace476ae414894334e0d72d5523fabc766b	527d162d2e18e470a78fb1c116a3502d0271760c3589dfa1bd95128b21ca5183	f74ec62df8c83233c0afe21366d3fcadde42d006918ef4ac29b461604d2919bd	5ecedb0ef41f9055d36b88f0f499fd27e5e7e198043a16acbff749724345a4f2	proofs/en/results/FIN-A1.tex	proofs/pt_BR/results/FIN-A1.tex	"RunSpecification[""FIN-A1""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A1.*.json
FIN-A2	formal/specs/FIN-A2.json	9a1dd3f7a17fdc77a93b1ff877a996d96d3c2f3ae4c4bb402dce4ab594cc5ef9	c94d0ef70453a30e11827219e8b0150619fffb79327af3e330d34199a718e788	b053a983421a4857fc83acbd27b680bee9b4c256b5fc68cd5fdd428705ad860e	0a9faf543c46dd88e6d09a5c83be32313f34bcc88484795cf68bc04ef2bb4326	proofs/en/results/FIN-A2.tex	proofs/pt_BR/results/FIN-A2.tex	"RunSpecification[""FIN-A2""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A2.*.json
FIN-A3	formal/specs/FIN-A3.json	f4f04fb4212c1c46f0120b7db40386b0b12bac1b4a2ad4c6f9edd622099c85cb	a47d4a9c7ac5bd0c333b1aa40be25a6fb845650f60066bc35dde3ae73470fef6	7ce47740c635e0443daf13325921a87038469b6113e538fa4b6e5c085991bcbe	977c0f2bcbb7ab6f1b7cd7216c6355c9b6f1c0a6c6aef535719cb1619a316889	proofs/en/results/FIN-A3.tex	proofs/pt_BR/results/FIN-A3.tex	"RunSpecification[""FIN-A3""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A3.*.json
FIN-A4	formal/specs/FIN-A4.json	d6ba99b1bba5e503f8c1eaae27446d33d6525a4233c5236dce456592be4adba5	988d96e6cfec58432f57b6e30a34a888f861179b869b8dad98d6cf008be527f9	5cbb51bd8298c9a14ec5d0891c0da19b020c78378ad48e82f5c453444e84b9b4	0fbfec375d0f1f66921c750cb03ceb72cc8188d85b68d4e8fb267bb94ecc0676	proofs/en/results/FIN-A4.tex	proofs/pt_BR/results/FIN-A4.tex	"RunSpecification[""FIN-A4""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A4.*.json
FIN-A5	formal/specs/FIN-A5.json	c6f4b3f4fba8a4884f7f0364befbe7f79100dd5ba394f77d3740b7287eef771e	b43c0e30c342d673bb8c3796deb879467a73376e585a972915f150c552ce48a0	7637f151208c7894d27bf9481be4d1a23b052855ed6fe7d9fd3a61cd2488dba7	309f72932a7255beb5e88748769ff18f20df004fa60dc24166c904a2a3d19790	proofs/en/results/FIN-A5.tex	proofs/pt_BR/results/FIN-A5.tex	"RunSpecification[""FIN-A5""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A5.*.json
FIN-A6	formal/specs/FIN-A6.json	cfb19822a585e516c0f3228e95950365ec25ba3ffb7de71750275a29efb3641b	f8824114952a86dbbbffa4bb9a192ca7b0ea17a20344221006e14739fea9e56c	0750411688a380d044e2390584f3ee9f62f11dde74d7c8e6cecdb325279c0631	a7e8f53ac8ff52c901454b7a63aa5dccfcb12d74dba5ecb6845f4a6cd2b59da6	proofs/en/results/FIN-A6.tex	proofs/pt_BR/results/FIN-A6.tex	"RunSpecification[""FIN-A6""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A6.*.json
FIN-A7	formal/specs/FIN-A7.json	4d5a2cde4a89ef62f553a841b2c2e737d57c2bb5e13919fc022c9edb20aad6e7	882a03a2dda7b247ee93520dbf190b0eb418b093013e629a9c8b734928d72cb5	5b68010aaa52e196255cdc0a13801d160f030fde374a99ee15a2a52314b44dc0	5520acabf542bf6451b3dfa5282d92c99190a8d362e4d0a2841bb2b21e01bdfa	proofs/en/results/FIN-A7.tex	proofs/pt_BR/results/FIN-A7.tex	"RunSpecification[""FIN-A7""]"	second_order_proof_kernel.CheckProof	formal/proofs/FIN-A7.*.json
CHG-B1	formal/specs/CHG-B1.json	7f262044bbadce98672029070f82f6587f3eeceb42d016c5f4be45055d8fd800	f0c23f82ad6e7557b52ca1728bdc7a92e15d3caa8621a5dc9e5d0cf08887eac6	428035edd9f9baddb50aff0a2a26cb6f6f3442d0e755d5e49d813f8b1ce8ac14	7ac4219b2f24ae65f5863b044fd5aa10a585cb527bd33ce4397bc906a6255ae6	proofs/en/results/CHG-B1.tex	proofs/pt_BR/results/CHG-B1.tex	"RunSpecification[""CHG-B1""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B1.*.json
CHG-B2	formal/specs/CHG-B2.json	b9a1447bb0746758acbbb8a55037874e1ead236997da2c4f0a5360a89f7faafe	2474a9ed5e9ffa529b1971c7f9d18766b300c0419fad350cd3d893b0da123950	2c9a7dcdbed6431e13426c7517a74ecba42eae809eaee1ceca66203c814c1d1a	fcd21e34871d45fdfdc3beed8ac98480a02bec4be18be3076523f77d9a63335f	proofs/en/results/CHG-B2.tex	proofs/pt_BR/results/CHG-B2.tex	"RunSpecification[""CHG-B2""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B2.*.json
CHG-B3	formal/specs/CHG-B3.json	8a965f5fbd8b41f4e01be065015e4a1f6a8b285f28873af4d09e62d8d69c5954	71d270ab8fa906a1c0a4301e100289e7664344158bc9bc3a47d6f4be6ca388f7	5fec313e11624698eadf6f6b68eab3ecc4c847c385ff4bbf33a88b40293bd3ac	e2a4697ed2aeb2d85b15b1e3039ff1d98bbaa197436880f317ebe2f4914b2692	proofs/en/results/CHG-B3.tex	proofs/pt_BR/results/CHG-B3.tex	"RunSpecification[""CHG-B3""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B3.*.json
CHG-B4	formal/specs/CHG-B4.json	34101d6e7090319a35fd6626ff3a6caa9267ff06ca956fb244bc3b115fb3ab73	8290073c8255da7f1e7f182149549f0ff751a17a95520623aaca57edfae05fef	ee60295478f41810ed5e8f218425d2eb76bdf2f1f8149c90971bbb97f247382b	df321f354134cb2454fe47b6021f1ec483cfe8217ac266247732609011865a3b	proofs/en/results/CHG-B4.tex	proofs/pt_BR/results/CHG-B4.tex	"RunSpecification[""CHG-B4""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B4.*.json
CHG-B5	formal/specs/CHG-B5.json	dfe8c2506601d0e546941522d843b98968c8326c0e9dbd44ff6e1e6f6e3fdd9b	6f667ea29dbbfd81ff42a3132e7c06c295cdeab09abf59bbe63e8c5b337cb676	78c358d2b63667b8c9d574c6f9d4f76bffb8b0d6c7c13d1816d890fa1b423e8b	e82e8a705ef91ecfbabba349cc721496afc8c6cc1d4d5013f2a65eae4196ec73	proofs/en/results/CHG-B5.tex	proofs/pt_BR/results/CHG-B5.tex	"RunSpecification[""CHG-B5""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B5.*.json
CHG-B6	formal/specs/CHG-B6.json	100bea8967a3ef4b5c11978fa725f77d8379cf17d052921df6cc38bce5ceaf4c	8bc4235c28461443ed8f8fb5c9203fb2b753a7acc23042d86b646606f8047209	37b7d5ad90b68f8271b2575478f0bc0eb3063f2922db5184d05d671a52d6bb78	213f4cf95c8dfa34e1b0e53a3b843f65d7539d99e389303192676307c05fab86	proofs/en/results/CHG-B6.tex	proofs/pt_BR/results/CHG-B6.tex	"RunSpecification[""CHG-B6""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B6.*.json
CHG-B7	formal/specs/CHG-B7.json	afc641c94a9f75a1539fb9d0672f477638266c71d70e3329c031341e1cbbc855	32db797246b0e02ce61c1d3531771c7cf6331d29c3bca79219c4d3afeac49d67	59184c38d677fb2f3f604173d619941306f747ba5cf4ff117c3be2d057212e2f	f96d15a744a02ff36944f7af57715f4c019204eb9d02921a9981b296109b33f3	proofs/en/results/CHG-B7.tex	proofs/pt_BR/results/CHG-B7.tex	"RunSpecification[""CHG-B7""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B7.*.json
CHG-B8	formal/specs/CHG-B8.json	19acdecc43d3f9deb9f85dea0b717e6d6f057ff8b8956892c6ed830224af1952	71b0d3dbe2f88dd480fb16c39550f63c7d2b6e92e92682756c5951ce1b1e2261	066785cf51cb698d0e7f38b7e8ef5ab1c85ca26c5b0e10714ed328f6447bfe7b	c5a999da3db532a8b718ee4e46c7c221fabe00b59cc1770cdde3620e36f6c77e	proofs/en/results/CHG-B8.tex	proofs/pt_BR/results/CHG-B8.tex	"RunSpecification[""CHG-B8""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B8.*.json
CHG-B9	formal/specs/CHG-B9.json	2769fde9cc1611d9012420a3fb879f727123909502ad7bfc8c7e941d7ac108a4	f6f28cf04ebb9de6d99adfb3de9af14c159022c02756fa57ec1beb66b865119b	828e5a36b4c8f12da204ec6cf0ebd55b39fc80083060b47580b9a4f5707c5039	e02efc7542c0e3079b7c18e44e60885c325f7372d83e141137170844fe0c86de	proofs/en/results/CHG-B9.tex	proofs/pt_BR/results/CHG-B9.tex	"RunSpecification[""CHG-B9""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B9.*.json
CHG-B10	formal/specs/CHG-B10.json	3d7417072909554aa90bf8c65822d4435b02419ae2b38bae7d042e198708ff98	7516ce798718dcd89e5336db32e64f0fcfc0bfa3a9e6b30cd6b53fbda97602d1	1fbabbe7289f421bc2c59ed264c6c33c72c2c1e6cd7b734bd9d0083b02351dd3	cfff4be6ee89dfa3037850a99b5317a2eb85c0c0d9a790f69db99ca71b7a193a	proofs/en/results/CHG-B10.tex	proofs/pt_BR/results/CHG-B10.tex	"RunSpecification[""CHG-B10""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B10.*.json
CHG-B11	formal/specs/CHG-B11.json	3678fd7d865494bf27e17499109966656bbd908681b58b6bc401c907d81f1dbb	b028e528227eb85dd423d7ecc0f17165f6e5923be6730282c8c9510c72ed1033	883d38b8a274ac2d7c53cdf4b5da07408934c4a680bd1926f504f2adaeec2c4e	54b3bd474ae500fd8afeb1ee55b06dab3b8e96861443030d45d1855a1bc13d91	proofs/en/results/CHG-B11.tex	proofs/pt_BR/results/CHG-B11.tex	"RunSpecification[""CHG-B11""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B11.*.json
CHG-B12	formal/specs/CHG-B12.json	f6a38e7f1b736882a25e9aa8d0fa647db29304efa79f19f37ec7b68965df6aaf	abf800a792d8367c1f6b170f6fdcee9d86cba685ddb5bd1c5bc13d279b2330a5	99ad4b9b6f3d6ae93734ad286b7f701a10139ea9812d7b027deedff3be440da5	fde05b1c440c52a96c44661b49a15c20ff6aff225b5fc8c91f221ed1af678fc9	proofs/en/results/CHG-B12.tex	proofs/pt_BR/results/CHG-B12.tex	"RunSpecification[""CHG-B12""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B12.*.json
CHG-B13	formal/specs/CHG-B13.json	66b25e95ff6c7f35a3ab560af9bd148c58dc94f82432d6967ee8a6e8287f6854	06f83030b643f1e51dc46a51ea68bbd36e37066683dace711e57f57ca01e6942	7a834c17e2fdaa4d858c7b12da52d14f67b3d60ca7e387196df20eecef8dda25	f3fd95a92c5418cd24a1523a734058cf76d273f6b0631b2895fb468e47ff66fd	proofs/en/results/CHG-B13.tex	proofs/pt_BR/results/CHG-B13.tex	"RunSpecification[""CHG-B13""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B13.*.json
CHG-B14	formal/specs/CHG-B14.json	d4f9fefa43ed762b250d43a16cb5569cea37d41d69897ac95458020b00c61dbd	d48ea0c0f4fcdaa5e90747457eae06f229fb65c3f548b99a9af503ea474df3dd	7cc73184e9c4dcf83e5a919138366049f5ff9248786b056977fbbf81053c8222	ba6b63fd9e60bca283b3fcd63c3cef12b3b4234db1ebdf0cca2cd78612669563	proofs/en/results/CHG-B14.tex	proofs/pt_BR/results/CHG-B14.tex	"RunSpecification[""CHG-B14""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B14.*.json
CHG-B15	formal/specs/CHG-B15.json	c527421dba6c9b3ffca160a6f467073ae713069baa69e1772b1ed8fb10f120b9	2d8a6f9271041525c2c8e0f4cedc611d6eff8fb4018e8a966fac5c9112501a16	5a46aed68d489cd887fa52eae9fec591f00a391bb7fce5c3eae3b61ce5471aef	862ae51d5b457c533b24532e20b3a89a78045770d8ac6a3cb2e29dd2c1f4be21	proofs/en/results/CHG-B15.tex	proofs/pt_BR/results/CHG-B15.tex	"RunSpecification[""CHG-B15""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B15.*.json
CHG-B16	formal/specs/CHG-B16.json	a9c1e346317641d96510e1553d7e95cc0300a82b91d1ce7b9d33e77ce0276568	b43407f2ca51030ba5adc2002cbbbb26b9c083454ac7561f366e037b82d20d96	ce0e53e82722d3ad844535b5c2ffb6a317fad0a6372b7d04621446f4a0b70db4	fb261f52a2e63b6aac0d75ef155d04dd6a81357cf5f88aa1634d971f7ba214e8	proofs/en/results/CHG-B16.tex	proofs/pt_BR/results/CHG-B16.tex	"RunSpecification[""CHG-B16""]"	second_order_proof_kernel.CheckProof	formal/proofs/CHG-B16.*.json
CTX-C1	formal/specs/CTX-C1.json	beed0989886f522831b6a438f872b1f19d1cdd939cc18392645e9424907a6ff8	2a04adcd67823a2f570d4737d21995a993a996a22cbb3f0e60b5777965516767	86cc1af24ce05400dbc5fe354f66d6f960a3063ef0a7c25ec5861925b31e6f1e	96287b98ded6912a4c5eeb4128ce2341cd430749a2b03e4261b27b0c2f848bdf	proofs/en/results/CTX-C1.tex	proofs/pt_BR/results/CTX-C1.tex	"RunSpecification[""CTX-C1""]"	second_order_proof_kernel.CheckProof	formal/proofs/CTX-C1.*.json
CTX-C2	formal/specs/CTX-C2.json	50918e1ee50c08eabd298285e6c4b159f982eb1b4d9869e7cc923cd65b63915e	1b61962dbe6ab4fdab8de51328221d37f79a9d326f8efcb65103cfc724a1fd01	6cc58763cbe12c318faa1f7be82c8b461121c223558337eef2b221ef07e8b629	aabb7716836a79154000e65315f626aa8fc27080e327bde9e61003d0d848b210	proofs/en/results/CTX-C2.tex	proofs/pt_BR/results/CTX-C2.tex	"RunSpecification[""CTX-C2""]"	second_order_proof_kernel.CheckProof	formal/proofs/CTX-C2.*.json
FLUX-D1	formal/specs/FLUX-D1.json	88ec3663c29e46c9ec2c5b78900a65a00efc11cd213796a96801ba61331ab648	754335b542798b52e15008eaa6a96c2dd1d88bca5db8102a973cd4d9243cca1b	6a726fc4664762dc10df688f5210b4eeba9f49fcb6279c71fff39765fedc6535	cec67483651a9b3e38474fbcc209af9e8245e462abb9b90cf7d6575f09e3f2f1	proofs/en/results/FLUX-D1.tex	proofs/pt_BR/results/FLUX-D1.tex	"RunSpecification[""FLUX-D1""]"	second_order_proof_kernel.CheckProof	formal/proofs/FLUX-D1.*.json
FLUX-D2	formal/specs/FLUX-D2.json	ed18c8767e964a1d5d9d33e9ba1cbcb9a0fa959f2fe720eb013c2b23bf93992e	3b69e2021aba2c5b4c975b0f276a95f71f4b6737457fe84f152961832dca39f0	8f6c862b3696818d8b09d7aa6a48fa9c1121951959d439fd586cae326115621b	00bc566dda2a21a47cdd315647fc880cd81483a7aa2cad40852e4a6a75f939c9	proofs/en/results/FLUX-D2.tex	proofs/pt_BR/results/FLUX-D2.tex	"RunSpecification[""FLUX-D2""]"	second_order_proof_kernel.CheckProof	formal/proofs/FLUX-D2.*.json
FLUX-D3	formal/specs/FLUX-D3.json	a7aa37e291822be9db755fbbcbd5342ecdcf7db457c548eb30a1aa780297f6fa	1f328845b15d13dba6e70dc8dba1d261b36c40a7d7dbf8f8d60379a4d3277984	9e229587e249d5c5453d952a538a3faef5cdd8146268a2d4e78b11f0f67d1194	1015dfe1275f6cbaf6100d9b3823dbfedc158a1ee849013c86833cbe2b3b592e	proofs/en/results/FLUX-D3.tex	proofs/pt_BR/results/FLUX-D3.tex	"RunSpecification[""FLUX-D3""]"	second_order_proof_kernel.CheckProof	formal/proofs/FLUX-D3.*.json
FLUX-D4	formal/specs/FLUX-D4.json	7db91f47ec9a567e47e57cf474ace7b1aa2a1d73463c7092545a017e1ae67829	934516fba8cdab983f545cff448bfdb440e70c3c9daf2a02faf38c978662d359	d41d75e48c958561c033e5dcb5019fdff9a46168e4c99ded3ee5c7c36ef9d268	a43811b6d2679c3cad409e79765f52d8fabbea216972339503e0aafe2e10daf5	proofs/en/results/FLUX-D4.tex	proofs/pt_BR/results/FLUX-D4.tex	"RunSpecification[""FLUX-D4""]"	second_order_proof_kernel.CheckProof	formal/proofs/FLUX-D4.*.json
FLUX-D5	formal/specs/FLUX-D5.json	e8186e92be199c98ab81062f794ab754191f579a4b3751f6065a0695b7cc730a	dbe2512a65fd78731e4836cff9577a8494a5d61677484d2d72a384a5863c415f	e22b10eda1c58fbe0aed775d2bd13e4335495ff73becdbe45d1cef56d41f6377	a553f2a9a10f64961b1ef46cbf9fc264276d432d2aa0dac5167c4613049482ac	proofs/en/results/FLUX-D5.tex	proofs/pt_BR/results/FLUX-D5.tex	"RunSpecification[""FLUX-D5""]"	second_order_proof_kernel.CheckProof	formal/proofs/FLUX-D5.*.json
SUP-E1	formal/specs/SUP-E1.json	418997dd3bc5048b39aec704fd6ceebf913f9debe3ec1e5d04653804dd1459cd	e7cf05550c3c4f4c409b716447600d2b37793728e478b43c46875f7d1ed28ee5	6945f59f9eefe37d28b4e6bedea390c536b20c84334d17770924a19763e6f3b3	91b9e358385b230fe67d7963cd84763e571a53315025c8dc1f542e0f8c525c5c	proofs/en/results/SUP-E1.tex	proofs/pt_BR/results/SUP-E1.tex	"RunSpecification[""SUP-E1""]"	second_order_proof_kernel.CheckProof	formal/proofs/SUP-E1.*.json
SUP-E2	formal/specs/SUP-E2.json	ee3a23e2e3952420f4e1a7a4a417ff0bfbda1167f99363b3b36f399675de765e	bdff5913035af221c3720487a2329265671a4ebb1ef595b6ad4f93561ce28acc	14351c14f0f5cbe4346835d8bae2ee5913acbe5afb95af6bd2ebd1b806bf0dd9	895e60c03928ea8622fa4a6880b1c86820dce05dbf0263f54b2c5b348b7306b5	proofs/en/results/SUP-E2.tex	proofs/pt_BR/results/SUP-E2.tex	"RunSpecification[""SUP-E2""]"	second_order_proof_kernel.CheckProof	formal/proofs/SUP-E2.*.json
