result_id	group	formalization_status	lean_declaration	note_en
CHG-B4	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.endpointPerturbation_eventually_negative;clippedQuadraticOptimizer_unique_minimizer;chg_b4_endpoint_obstruction	The registered little-o endpoint obstruction, the exact clipped quadratic optimizer, and their integrated theorem are kernel-checked under the declared positivity and asymptotic hypotheses.
CHG-B5	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b5_full_path_exponent_boundary;chg_b5_complete_exponent_boundary;chg_b5_endpoints_01;chg_b5_repair_02	For every nonempty finite path, the exact optimizer sets above, at, and below `h = mN` are kernel-checked in the sublinear and linear regimes: zero repair above; the two endpoint repairs at sublinear equality; the full first-edge segment at linear equality; and concentrated first-edge repair below. The superlinear branch includes the finite equal-distribution power-sum lower bound. The equality-face and two-edge fixed-repair laws remain separately checked finite corollaries.
CHG-B6	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b6_allBack_weak_iff;chg_b6_allBack_unique_iff;chg_b6_superlinear_boundary_ties;chg_b6_linear_boundary_ties;chg_b6_oneStep_difference	The complete uniform-lattice weak and unique winner boundaries, both equality tie-set classifications, and the one-step necessity witness are kernel-checked.
CHG-B7	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b7_complete_general_power_persistence;generalPowerFirstZeroCell_iff_ratioPhase;generalPowerRatioPhaseCell_unique;generalPowerRatioPhaseCell_mono;generalPower_phase_index_div_rpow_tendsto_canonical;chg_b7_common_scale_preorder	For every fixed p>1, Lean proves the exact ratio phase cell, its equivalence to the optimizer first-zero cell, uniqueness, the monotone support staircase, common-scale gauge, and the sharp canonical reach constant p*(p-1)^(-(p-1)/p).
CHG-B8	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b8_weak_ratio_iff;chg_b8_strict_ratio_iff;chg_b8_weak_horizon_iff;chg_b8_strict_horizon_iff;chg_b8_weak_critical_mesh_iff;chg_b8_below_critical_mesh_iff	All three registered proof goals are represented by exact ratio, horizon, and critical-mesh equivalences.
CHG-B9	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b9_complete_optimizer_phase_profile;exists_unique_phaseOffset_of_firstZeroCell;powerProfileFromDecreases_eq_normalizedPhaseProfile;normalizedProfileLoss_powered_gap;normalizedPhaseProfile_strict_secondDifference_pos	For every exact first-zero cell, Lean derives the unique phase offset, exact KKT-mass equation, optimizer-to-normalized-profile identity at every index, powered-gap law, and strict active discrete convexity.
CHG-B10	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b10_complete_global_comparative_statics;generalPower_boundary_optimizer_profile_global_mono_ratio;generalPowerFirstZeroCell_minimal_extension_package;powerPathMinimumValue_concave_all_phases;normalizedPhaseProfile_phase_paste_tendsto	For every p>1, actual unique boundary-optimizer profiles are coordinatewise nondecreasing in the positive harmony-to-markedness ratio across arbitrary support changes. The first-zero horizon is exactly the least positive horizon whose actual unique optimizer profile remains identical under every extension, every later horizon is stable, adjacent phases paste continuously, and the actual minimum value is concave across all slack and active phase combinations.
CHG-B11	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b11_complete_query_relative_identifiability;poweredGapFamilyAdmission_consecutive_triple_identifies;quadratic_phase_four_iff_ratio_cell;powered_gap_pair_consistency;chg_b11_scale_04	Lean separates global family admission from local recovery: an actual consecutive admitted positive log-concave triple uniquely identifies the admitted exponent and ratio, every active pair recovers that ratio, support identifies only its phase cell, and common scale remains free.
CHG-B12	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b12_exactUniformSimplexLattice_selectedMinimizers;chg_b12_uniformSimplexLattice_convergence_without_identity;chg_b12_lattice_convergence_without_identity;fortyOne_over_fortyTwo_not_terminating_decimal;chg_b12_decimal_sequence;chg_b12_decimal_targets_are_nearest	The complete uniform solid-simplex lattices are finite and nonempty, exact minimizers exist and are canonically selected, lower-rounding supplies concrete density, and those selected minimizers converge to the unique continuum optimizer while preserving persistent exact nonidentity and eventual local-query identity under the stated hypotheses. The prime-denominator obstruction and global nearest-point proofs for all six decimal lattices remain exact.
CHG-B13	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b13_uniform_long_support_scaling;normalizedPhaseProfile_uniform_scaling;normalizedPhaseDecrease_uniform_scaling;shiftedPowerSum_uniform_integral_scaling;chg_b13_exact_moment_package;chg_b7_complete_general_power_persistence	For every fixed p>1, the complete normalized finite phase profile and its scaled decrement array converge uniformly over every active coordinate and every phase offset in [0,1). CHG-B7 supplies the exact reach asymptotic, while the analytic scaling module proves the limiting profile, density, unit mass, moments, and quantiles.
CHG-B14	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b14_complete_ratio_onset_and_optimizer;supportBirthCoordinate_div_ratioExcess_rpow_tendsto_subquadratic;supportBirthCoordinate_div_ratioExcess_tendsto_quadratic;supportBirthCoordinate_div_ratioExcess_tendsto_superquadratic;supportBirthCoordinateCoefficients_pos;supportBirthQuadraticCoordinateCoefficient_closedForm;supportBirthEntering_actualCoordinateProof	For every p>1 and every nonempty old support, the actual newly active optimizer coordinate has exact positive ratio-scale onset order q=1/(p-1) when 1<p<2 and order one when p>=2. The boundary and entering phases each have a unique optimizer, the support changes from k to k+1 without a winner tie, and the actual newborn coordinate is positive on entry but converges continuously to zero.
CHG-B15	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b15_full_vector_optimizer_boundary_law;singular_fullVector_ratio_above;singular_fullVector_ratio_equal;singular_fullVector_ratio_below;singular_fullVector_joint_path;linearBoundaryCorrection_minimizer_iff;chg_b15_upcast_04	For every fixed finite N>0, Lean proves the actual unique full-vector optimizers and every later-coordinate limit in the fixed-ratio above, equality, and below branches and in every admitted first-order joint path c>-1; the variational selector and no-upcast witness are also exact.
CHG-B16	CHG	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b16_unconditional_actual_hard_exponent_law;phaseTwoNormalizedFollower_sharp_bounds;phaseTwo_actualFollower_div_scale_tendsto_one;hardExponentActualOffset_eventually_unique;hardExponentGeneralPower_supportTwo_eventually	For every fixed positive ratio, a canonical actual multiplier path is eventually the unique K_p=2 optimizer and extends uniquely to every longer horizon. Its sole positive follower is squeezed between the one-horizon envelope and that envelope divided by 1+1/(p-1), is asymptotic to log(p*rho)/(p-1), and converges to zero while exact finite-p support remains positive.
CTX-C1	CTX	lean_closed	PhonologicalCalculus.Context.ctx_c1_phase_01;ctx_c1_center_02;ctx_c1_carrier_03;ctx_c1_actual_carrier_witness;ctx_c1_general_04_analytic	For every admitted first-zero cell, Lean derives the unique phase, unique boxed optimizer at every span, all three exact support regimes, phase-bit sufficiency for every binary support query, and an actual objective-level pair showing that the phase bit is necessary beyond K; the three registered fixtures remain exact.
CTX-C2	CTX	lean_closed	PhonologicalCalculus.Context.ctx_c2_order_01;ctx_c2_shortest_02;ctx_c2_general_03_analytic	Lean connects both declared real-power objectives to their unique optimizers and exact maximum-gap support laws, proves all-profile one-trigger winner equivalence, and derives the objective-level shortest opposite-trigger separator at K+1; the two registered fixtures remain exact.
FLUX-D1	FLUX	lean_closed	PhonologicalCalculus.Flux.flux_d1_shift_01;flux_d1_potential_02;flux_d1_reversal_03;flux_d1_completePathWinnerBridge	The periodic analytic gauge, potential, and reversal are exact. For arbitrary complete box-path families, strict monotonicity and the shift law preserve winner predicates relative to separate baseline and transformed exact path-KKT contracts; conversely, complete free two-edge winner-probe equality forces the shift law relative to the corresponding two contracts.
FLUX-D2	FLUX	lean_closed	PhonologicalCalculus.Flux.flux_d2_period_01;flux_d2_star_02;flux_d2_completeWinnerRigidity	The commensurate-load witness and star defect are exact. Two complete free-probe winner families force identity under separate baseline/transformed exact path-KKT contracts, continuity, F(0)=0 and irrational load ratio; complete degree-three star-winner equality separately forces identity under the two exact star-KKT contracts, continuity, oddness and nonzero load.
FLUX-D3	FLUX	lean_closed	PhonologicalCalculus.Flux.flux_d3_null_01;flux_d3_monotone_02;flux_d3_unregistered_03;flux_d3_general_04;flux_d3_general_04_arbitrarily_close;finiteLedger_all_consumers_preserved;finiteLedgerGauge_completeWinnerPredicates_eq	For every finite prospectively declared J-row score ledger and every larger analytic periodic K-mode basis, Lean constructs a nonzero null direction, an arbitrarily close nonidentity analytic strictly increasing shift-equivariant gauge, exact preservation of the complete score vector and every deterministic consumer, and a changed held-out point; the fixed-load path-winner bridge is exact relative to FLUX-D1's explicit inherited KKT contracts.
FLUX-D4	FLUX	lean_closed	PhonologicalCalculus.Flux.flux_d4_scales_01;flux_d4_coefficients_02;flux_d4_complete_with_canonical_lambert	At the globally synchronized narrowed scope, the scale and coefficient anchors, every positive odd raised-cosine contact order, unique positive Lambert branch, corrected quotient balance, coefficient recovery, logarithmic slope, and ratio-one representative are exact from the prospectively registered normalized remainder. The former KKT/contact-germ-to-remainder derivation is explicitly withdrawn and is not part of this Lean-closed theorem.
FLUX-D5	FLUX	lean_closed	PhonologicalCalculus.Flux.flux_d5_finite_01;finiteAuditPerturbation_preserves_ledger;finiteAuditPerturbation_injective;flux_d5_recurrence_02;terminalKKT_accumulatingResponse_identifies	At the canonical audit-relative scope, Lean proves the complete printed point-and-jet perturbation ledger, an injectively real-parameterized continuum preserving it, the exact terminal recurrence, and the accumulating exact-response analytic-identity chain. This status does not generalize the fixed registered audit to every finite audit or claim that accumulation is necessary or cardinality-minimal.
SUP-E1	SUP	lean_closed	PhonologicalCalculus.Support.sup_e1_completeEndpointWinnerBridge;zeroSiteLift_exists_strict_improvement;flux_drop_strict_prefix_bound	Zero endpoint slope forces a full positive finite horizon, while positive endpoint slope gives the exact strict real ceiling and integer ceiling, relative to the explicit inherited smooth-convex endpoint KKT-to-winner contract; the K=0 case remains admitted.
SUP-E2	SUP	lean_closed	PhonologicalCalculus.Support.sup_e2_contradiction_01;sup_e2_quadratic_02;sup_e2_zeroextend_03	All three registered projectivity, quadratic prefix-change, and exact-zero extension proof goals are kernel-checked.
SUP-E3	SUP	lean_closed	PhonologicalCalculus.Support.sup_e3_general_real_exponent;matchedPower_global_lower_bound;matchedPower_unique_global_minimizer	For every positive h and m and real exponent p greater than one, the decay ratio exists uniquely in the open unit interval; the geometric profile has the exact continuation value and is the unique global minimizer among the declared nonnegative finite-energy profiles.
SUP-E4	SUP	lean_closed	PhonologicalCalculus.Support.sup_e4_general_real_exponent;matchedPower_finite_continuation_lower_bound;matchedPower_finite_equality_profile	Exact monomial continuation gives a horizon-independent lower bound, every geometric prefix attains it, equality identifies the entire retained geometric profile, and the continuation coefficient is unique for every admitted real exponent.
SEL-F1	SEL	lean_closed	PhonologicalCalculus.Selection.sel_f1_rays_01;sel_f1_witness_03;selectedEvent_eq_pairwise_iff_positiveRays;exists_open_spherical_gap_of_not_positiveRayFamily;haarSphereProbability_selected_lt_pairwise_of_not_positiveRayFamily;sel_f1_open_patch_measure_proof;sel_f1_sphere_02_of_fixture_coordinate_transport	For a finite homogeneous comparison family containing a nonzero target, event identity is equivalent to the positive-ray condition. Failure of that condition constructively yields a nonempty relatively open pairwise-only spherical gap and hence a strict probability overcount under every admitted normalized Haar-induced full-support spherical law; this is not a converse from equality under one arbitrary measure. At the registered radius-two fixture, a normalized interior direction has exact target slack 1/5 and excluded-comparison slack -3/10; a 1/100-radian angular ball lies inside a 1/100 chordal ball wholly contained in the gap, and the exact normalized-Haar mass of that chordal patch is positive. The registered radius-two probabilities and arccotangent form remain closed relative to the project-specific `RadiusTwoSphereFixtureCoordinateTransport` premise, which directly supplies the event-to-integral identities and does not identify the measure as canonical uniform/Haar.
SEL-F2	SEL	lean_closed	PhonologicalCalculus.Selection.sel_f2_scores_01;sel_f2_euclidean_02;sel_f2_frobenius_03;sel_f2_commonlaw_04;sel_f2_common_twoShell_positive_reversal	The raw complete score rows, exact Euclidean and Frobenius projection reversals, intermediate shell separation, strict far-shell open patches, and a common two-atom spherical radial law under which both named errors are positive and their order reverses are kernel-checked.
MAX-G1	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g1_completeRationalSparsePolynomialCarrier;max_g1_completeRationalLedgerCarrier;max_g1_sparseCarrier_minimalClearing;max_g1_sparsePolynomialCarrier;rationalClearedIntegerPolynomial_sign_iff;max_g1_closure_03	For complete finite ledgers with positive rational base masses and integer violation rows, named-candidate probability order is reduced exactly to a canonical multiplicity-sensitive sparse Laurent carrier and then to one integer multivariate polynomial. The support gives a componentwise least exponent-clearing vector, coefficient denominators have a least common-multiple clearing factor, both factors are positive on the physical activity domain, and the open-cube closure clause is exact.
MAX-G2	MAX	lean_closed	PhonologicalCalculus.MaxEnt.compiledRelativePartitionPolynomial_eq;compiledRowMultiplicity_eq_natAbs_coefficient;compiledCandidateCount_eq;compiledLedgerPair_wellFormed;compiledNamedProbability_order_iff;compiledNamedProbability_universal_order_iff	Every finite integer multivariate polynomial is compiled exactly into two finite nonempty unit-mass MaxEnt ledgers. Signed coefficient splitting preserves every labelled row multiplicity and the exact candidate count, and named-probability order is equivalent pointwise and universally to polynomial nonnegativity on the declared nonnegative activity domain.
MAX-G3	MAX	lean_closed	PhonologicalCalculus.MaxEnt.boundedETRINV_satisfiable_iff_residual_zero;sourceResidualPolynomial_totalDegree_le_four;sourceResidualPolynomial_coefficientL1_le;max_g3_chain_02;max_g3_strictifierPolynomial_complete;compileExplicitBoundedETRINVOneHot_correct;compileExplicitBoundedETRINVOneHot_row_count_le;compileExplicitBoundedETRINVOneHot_size_polynomial;ExecutableQuarticCode.unitTarget_row_count;ExecutableQuarticCode.unitTagDimension_eq_coefficientL1;ExecutableQuarticCode.executableOneHotOrderCode_size_eq;ExecutableQuarticCode.unitTarget_row_bounds;ExecutableQuarticCode.unitTagLiftValue_allOne;ExecutableQuarticCode.unitCommon_mul_sourceValue_le_tagLift;ExecutableQuarticCode.executableOneHot_universalOrder_iff	Relative to the explicit compact-minimum foundation, Lean proves the residual, contraction-chain and quartic strictifier mathematics and the deterministic one-hot unit compiler. The compiled zero-named unit-mass rows are globally duplicate-free with values in {1,...,5}; their universal order holds exactly when the bounded ETR-INV source is unsatisfiable, and the declared row-count and target-object-size bounds are exact. The theorem makes no standard-machine runtime or universal-real class claim.
MAX-G4	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g4_reversal_01_registered;max_g4_tie_02;allWeightCrossInputProbabilityEqual_iff_relativeMeasure_eq;max_g4_multiset_03_registered;compileExecutableProperCNFSelectorCode_correct;compileDuplicateFreeExecutableProperCNFSelector_correct;compileExecutableProperCNFSelector_rowCount_le;compileExecutableProperCNFSelector_size_le;executableSelectorCompilerCost_le;compileDuplicateFreeExecutableProperCNFSelector_size_le;compiledExecutableCNFNegativeVerifier_steps_le;executableProperCNFSelectorReduction;executableCNFComplementProofWitness;ExecutableCNFConventionalBoundary;max_g4_executableCNF_conditionalCompleteness;executableSelectorNormalizationCharge_le;compileDuplicateFreeExecutableProperCNFSelectorWithCharge_le	Lean proves the exact relation cells and a concrete proper-CNF/list-table selector compiler into globally distinct {1,2} rows, including its semantic bridge, row and object bounds, complement verifier, and local construction, verification, normalization, and total charges. `max_g4_executableCNF_conditionalCompleteness` derives the conventional coNP label only from an explicit `ExecutableCNFConventionalBoundary`; the registered theorem contains no unconditional class or universal-real claim.
MAX-G5	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g5_types_01;max_g5_gordan_02;max_g5_completeTypedVacuityCollapse;mutualTransportWeightRegion_eq_nonnegativeKernel;max_g5_collapse_iff_positiveRowSpace	Relative to the explicitly supplied inherited rational Gordan--Stiemke foundation, Lean derives normalization and exclusivity, cancels the complete finite same-input MaxEnt normalizer, identifies every mutual numerical transport with the nonnegative base-difference kernel, preserves the categorical/numerical sort distinction, and proves that the region collapses to the origin exactly when the row space contains a strictly positive rational vector.
MAX-G6	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g6_completeBasicSyllableDecomposition;max_g6_enum_01;max_g6_provenance_03;max_g6_cone_02;basicSyllableMixedCone_iff_zero	The complete categorical inventory has 121 nonreflexive implications, decomposing exactly into 105 empty-antecedent and 16 live cases. The live MaxEnt conditions equal the registered nonzero two-facet cone with a strict interior point, while the separately typed mixed 121-row transport has only the zero nonnegative weight vector; one theorem preserves rather than conflates these three objects.
MAX-G7	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g7_rank_01;max_g7_contact_02_mixedGerm;max_g7_ray_03;max_g7_factorization_04_mixedLawJet	For complete finite fixed-mass ledgers with globally positive candidate masses and complete consequence fibres, Lean constructs the canonical alias-collected nonzero cross supports, proves exact mixed quotient-contact transport, identifies the least complete mixed-jet degree through an explicit separating direction, derives all-weight normalized-law equality, and recovers positive projective fibre equivalence. The result is ledger-relative, depends on the complete mixed jet rather than an arbitrary scalar directional jet, and does not claim that a nonseparating direction identifies the law.
MAX-G8	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g8_sharp_01_polynomial;max_g8_capacity_02_general;max_g8_boundary_03_balancedInterior;max_g8_chebyshev_04_general	Lean proves the exact sharp positive-root packet construction, the balanced strict-interior MaxEnt rider with equal zero-weight mass and positive nonnamed rows, and the q-minus-one contact/reversal capacity for every collected nonzero distinct-real-exponent response. The general analytic branch is closed relative only to the explicit inherited Rolle multiplicity theorem parameter `FoundAnalyticRolleMultiplicity001`; one-ray equality is not multivariate grammar equality.
MAX-G9	MAX	lean_closed	PhonologicalCalculus.MaxEnt.max_g9_lawtoenv_01;max_g9_envtolaw_02;max_g9_convex_03_relativeInterior;max_g9_convex_03_response_relativeInterior;max_g9_positiveMassResponseSet_eq_iff_envelope_eq;max_g9_robustSignDirections_eq_nonnegativePolar_envelope	The two nonfactorization witnesses are exact. For every nonempty finite fibre, arbitrary strictly positive masses realize exactly the intrinsic interior of its convex hull; independent two-fibre responses realize exactly the intrinsic interior of the closed response envelope. Equality of attainable response sets is therefore equivalent to equality of their closed envelopes, and robust nonnegative directions are exactly the envelope's nonnegative polar.
APP-BASIC	APP	lean_closed	PhonologicalCalculus.Application.app_basic_reuse	The registered reuse inventory is projected from the same exact Basic Syllable declarations used by MAX-G6.
APP-MCC-COMP	APP	lean_closed	PhonologicalCalculus.Application.app_mcc_comp_allHorizon;app_mcc_comp_counts;app_mcc_comp_parameter;app_mcc_comp_carrierGuard	For every positive fixed quadratic weight pair, Lean constructs its finite first-zero phase, a `K+1`-element phase carrier that decodes the exact complete zero-extended winner profile at every horizon, and exact optimizer/profile proofs; the three registered coordinate-inventory, parameter-boundary, and carrier-type fixtures remain separately checked.
APP-MCC-GRID	APP	lean_closed	PhonologicalCalculus.Application.app_mcc_grid	The continuum winner, complete tenths-lattice winner, and exact-winner nonidentity are proved from explicit objectives.
APP-MCC-LENGTH	APP	lean_closed	PhonologicalCalculus.Application.app_mcc_length_registeredProfiles;PhonologicalCalculus.ContinuousHG.quadratic_all_horizon_registered_anchors;quadraticProfile_exact_first_zero;quadraticExtension_stable_unique_minimizer	The printed profiles, exact first-zero boundary, finite positive support, and extension-stable unique zero-tail optimizer are all kernel-checked at the three registered quadratic phases.
DATA-EN-R1	DATA	lean_closed	PhonologicalCalculus.Demonstration.data_en_r1_replay;empiricalReplay_scope_boundary;empiricalReplay_source_bindings	Lean checks the exact arithmetic of the embedded English aggregate and speaker-scenario transcriptions and their declared source-binding strings. It does not compute external digests, reopen recordings, validate corpus provenance, acoustics or annotations, or license an all-speaker or all-accent generalization.
DATA-PT-R1	DATA	lean_closed	PhonologicalCalculus.Demonstration.data_pt_r1_replay;empiricalReplay_scope_boundary;empiricalReplay_source_bindings	Lean checks the exact arithmetic of the embedded Portuguese decision-ledger transcription and its declared source-binding string. It does not compute the external digest, reopen recordings, validate corpus provenance, acoustics or annotations, or infer a language-wide grammar.
DATA-ZH-R1	DATA	lean_closed	PhonologicalCalculus.Demonstration.data_zh_r1_replay;empiricalReplay_scope_boundary;empiricalReplay_source_bindings	Lean checks the exact arithmetic of the embedded Mandarin construction-scope transcription and its declared source-binding string. It does not compute the external digest, reopen recordings, validate corpus provenance, acoustics or annotations, or select a unique Mandarin analysis.
