proof_goal_id	result_id	formalization_status	lean_declaration	note_en
CALC-R04.SURJECTIVITY.01	CALC-R04	lean_closed	PhonologicalCalculus.Regression.CALC_R04_SURJECTIVITY_01	Exact finite set result.
CALC-R04.FRONTIER.02	CALC-R04	lean_closed	PhonologicalCalculus.Regression.CALC_R04_FRONTIER_02	Exact finite set result.
CALC-R05.ORBIT.01	CALC-R05	lean_closed	PhonologicalCalculus.Regression.CALC_R05_ORBIT_01	Exact finite orbit model.
CALC-R06.ORBITS.01	CALC-R06	lean_closed	PhonologicalCalculus.Regression.CALC_R06_ORBITS_01	Equivalent injectivity/collision proposition for the exact finite model.
CALC-R07.OUTBOUND.01	CALC-R07	lean_closed	PhonologicalCalculus.Regression.CALC_R07_OUTBOUND_01	Exact finite edge model.
CALC-R08.STATUS.01	CALC-R08	lean_closed	PhonologicalCalculus.Regression.CALC_R08_STATUS_01	Exact typed-status model.
CALC-R09.MASS.01	CALC-R09	lean_closed	PhonologicalCalculus.Regression.CALC_R09_MASS_01	Exact rational model.
CALC-R10.CYCLE.01	CALC-R10	lean_closed	PhonologicalCalculus.Regression.CALC_R10_CYCLE_01	Exact two-state relation model.
CALC-R11.FIBRE.01	CALC-R11	lean_closed	PhonologicalCalculus.Regression.CALC_R11_FIBRE_01	Exact rational pushforward.
CALC-R12.SERIES.01	CALC-R12	lean_closed	PhonologicalCalculus.Regression.CALC_R12_SERIES_01	Exact real geometric law under the registered open-unit-interval assumptions.
CALC-R13.MISMATCH.01	CALC-R13	lean_closed	PhonologicalCalculus.Regression.CALC_R13_MISMATCH_01	Exact finite model.
CALC-R14.BELL.01	CALC-R14	lean_closed	PhonologicalCalculus.Regression.CALC_R14_BELL_01	Exact Bell-number computation from mathlib's mathematical definition.
CALC-R15.EXTERNAL.01	CALC-R15	lean_closed	PhonologicalCalculus.Regression.CALC_R15_EXTERNAL_01	Exact typed decision record.
FIN-A1.INVERSE.01	FIN-A1	lean_closed	PhonologicalCalculus.finiteOrbitRecovery_equivalences;fin_a1_inverse_01	Collision freedom, injectivity, one-sided range recovery, and two-sided range recovery are equivalent, with an exact positive fixture.
FIN-A1.EMPTY.02	FIN-A1	lean_closed	PhonologicalCalculus.range_empty_of_isEmpty;fin_a1_empty_02	An empty licensed source has an exactly empty reachable image, so positive recovery on that image is vacuous.
FIN-A1.EQUIVARIANCE.03	FIN-A1	lean_closed	PhonologicalCalculus.Equivariant;equivariant_identity;fin_a1_equivariance_03	The exact identity-induced orbit fixture commutes with every declared action.
FIN-A1.NEGATIVE.04	FIN-A1	lean_closed	PhonologicalCalculus.fin_a1_negative_04	The explicit two-orbit collision fixture fails injectivity and both range-recovery predicates together.
FIN-A1.METAPROOF	FIN-A1	lean_closed	PhonologicalCalculus.fin_a1_semanticOrbitRecovery_from_weakening;inducedOrbitMap_mk;inverseOnRange_unique	Relation preservation constructs the induced map between source and target orbit quotients; collision freedom, nonvacuity, and unique image-inverse recovery then follow under the finite registered assumptions.
FIN-A2.PROOF.01	FIN-A2	lean_closed	PhonologicalCalculus.fin_a2_proof_01	The exact stable coherent identity proof is kernel-checked.
FIN-A2.OUTBOUND.02	FIN-A2	lean_closed	PhonologicalCalculus.fin_a2_outbound_02	An explicit complete target action sends an image point outside the raw image and therefore defeats representative recovery.
FIN-A2.COHERENCE.03	FIN-A2	lean_closed	PhonologicalCalculus.fin_a2_coherence_03	The declared complete Boolean action policy satisfies action-lift, identity, and composition coherence.
FIN-A2.METAPROOF	FIN-A2	lean_closed	PhonologicalCalculus.representativeRecovery_iff;fin_a2_representativeRecovery	The integrated equivalence proves that raw injectivity, complete target-image stability, and coherent action lifting are jointly necessary and sufficient for representative recovery.
FIN-A3.MARGINALS.01	FIN-A3	lean_closed	PhonologicalCalculus.fin_a3_marginals_01	Two exact joint laws have equal first and second binary marginals while remaining unequal.
FIN-A3.NONTERMINATION.02	FIN-A3	lean_closed	PhonologicalCalculus.fin_a3_nontermination_02;stoppedProbability_retains_nontermination	Conditioning identifies the exact unary stopped laws while their explicit infinity masses distinguish the underlying stopped-probability objects.
FIN-A3.EDGECASES.03	FIN-A3	lean_closed	PhonologicalCalculus.fin_a3_edgecases_03	The empty-word mass, summed path mass, deadlock label, structural-cycle flag, and zero infinity mass are stated as one exact typed ledger.
FIN-A3.TYPES.04	FIN-A3	lean_closed	PhonologicalCalculus.serialTags_pairwise_distinct;serialAnswer_constructors_disjoint;fin_a3_types_04	The four serial tags and their payload constructors are pairwise disjoint, and the registered tag list has length four without duplicates.
FIN-A3.METAPROOF	FIN-A3	lean_closed	PhonologicalCalculus.weightedSeries_admitsProbability_iff_normalized;prefixStoppedProjection_refused;fin_a3_typedSerialDecisions	The integrated theorem combines tag disjointness, the prospective cast guard, nontermination retention, the exact probability-normalization criterion, and prefix/stopped projection refusal.
FIN-A4.KERNEL.01	FIN-A4	lean_closed	PhonologicalCalculus.stronger_query_preservation_implies_weaker;adding_consumer_refines_kernel;product_query_kernel_exact	Factorization refines the query kernel, reduction preservation propagates to the weaker query, and the product kernel is exactly the intersection of its component kernels.
FIN-A4.CONVERSES.02	FIN-A4	lean_closed	PhonologicalCalculus.weak_preservation_does_not_imply_strong;added_consumer_can_strictly_refine;fin_a4_converse_boundary	Explicit two-point models kernel-check both forbidden converses.
FIN-A4.REACHABLE.03	FIN-A4	lean_closed	PhonologicalCalculus.finite_query_factorization_on_reachable_image	Factorization is proved exactly on the finite reachable image and nowhere else is claimed.
FIN-A4.METAPROOF	FIN-A4	lean_closed	PhonologicalCalculus.fin_a4_query_consumer_monotonicity	The integrated theorem checks factorized query refinement, propagation through a reduction, exact product-kernel intersection, and reachable-image factorization.
FIN-A5.CARRIER.01	FIN-A5	lean_closed	PhonologicalCalculus.productQuery_kernel_exact;kernelRefines_productQuery_iff;productQuery_minimum_carrier_cardinality	The dependent product query has exactly the intersection kernel, preserves exactly the component family, and supplies the finite minimum reachable-cardinality bound.
FIN-A5.PRICE.02	FIN-A5	lean_closed	PhonologicalCalculus.fin_a5_price_02;blockwiseAddedConsumerPrice_eq	The registered fixture has direct and blockwise added-consumer price exactly two.
FIN-A5.LOSS.03	FIN-A5	lean_closed	PhonologicalCalculus.firstLossIndex_specification;firstLossAt_supplies_irreversible_witness;fin_a5_loss_03	Every nonempty finite ordered loss set has a least loss stage with an irreversible witness, and the registered two-stage fixture has first loss at stage one.
FIN-A5.FACTORIZATION.04	FIN-A5	lean_closed	PhonologicalCalculus.factor_through_range_iff_kernel_refines;kernelRefines_productQuery_iff	Exact reachable-range factorization is equivalent to kernel refinement, including the complete dependent consumer family.
FIN-A5.REDUNDANCY.05	FIN-A5	lean_closed	PhonologicalCalculus.blockwiseAddedConsumerPrice_eq;addedConsumerPrice_eq_zero_iff_redundant	The fibre-sum formula equals the direct cardinality difference and vanishes exactly when the added consumer is constant on every old block.
FIN-A5.POSTPROCESS.06	FIN-A5	lean_closed	PhonologicalCalculus.irreversible_deterministic_loss;irreversible_markov_loss	Deterministic and complete-row Markov suffixes receiving only the reduced value cannot reconstruct a collapsed registered distinction.
FIN-A5.UNIVERSAL.07	FIN-A5	lean_closed	PhonologicalCalculus.injective_iff_all_consumers_preserved	Injectivity is equivalent to preservation of every typed consumer; a collision is separated by an explicit Boolean consumer.
FIN-A5.COLLISIONS.08	FIN-A5	lean_closed	PhonologicalCalculus.collisionSet_comp_decomposition;collisionSet_comp_decomposition_disjoint	A two-map composite decomposes exactly into disjoint inherited and newly introduced collisions, yielding the finite-chain result by iteration.
FIN-A5.METAPROOF	FIN-A5	lean_closed	PhonologicalCalculus.fin_a5_carrierAlgebra;productQuery_minimum_carrier_cardinality;blockwiseAddedConsumerPrice_eq;firstLossIndex_specification;collisionSet_comp_decomposition	The generic finite propositions jointly represent the registered product-carrier, price, earliest-loss, and irreversible-postprocessing derivation.
FIN-A6.LATTICE.01	FIN-A6	lean_closed	PhonologicalCalculus.fin_a6_lattice_01	The two Boolean coordinate carriers are incomparable, each has two reachable labels, and their product has all four labels.
FIN-A6.CLOSURE.02	FIN-A6	lean_closed	PhonologicalCalculus.redundancyClosure_extensive;redundancyClosure_monotone;redundancyClosure_idempotent;fin_a6_directInformationLattice	Redundancy closure on a fixed finite homogeneous consumer universe is extensive, monotone, and idempotent.
FIN-A6.DEFINEDNESS.03	FIN-A6	lean_closed	PhonologicalCalculus.different_definedness_refutes_strongness;fin_a6_definedness_03	The registered relation identifies two arguments with different operation definedness and therefore cannot be a strong partial congruence.
FIN-A6.LATTICEOPS.04	FIN-A6	lean_closed	PhonologicalCalculus.closedBattery_intersection;closedBattery_join;fin_a6_directInformationLattice	Closed direct consumer batteries have intersection as meet and closure of union as join.
FIN-A6.CONTEXT.05	FIN-A6	lean_closed	PhonologicalCalculus.strongPartialCongruence_intersection;fin_a6_contextualIntersectionAndDefinedness	A nonempty intersection of strong congruences for one fixed complete partial signature remains strong.
FIN-A6.METAPROOF	FIN-A6	lean_closed	PhonologicalCalculus.fin_a6_constructedArbitraryFinitaryManySortedContextual;completeManySortedContextRelation_isGreatest;fin_a6_finiteManySortedContextualRefinement_metaproof;different_definedness_refutes_manySortedStrongness	Finite one-hole contexts construct the greatest strong congruence below every heterogeneous observation kernel for an arbitrary-finitary many-sorted partial signature. Exact product-observation intersection follows, and every contracting complete splitter that preserves this target and whose fixed points lie below it reaches the target on finite tagged carriers within the initial graph cardinality.
FIN-A7.DIAGRAM.01	FIN-A7	lean_closed	PhonologicalCalculus.ResponseImport.reader_encode;PhonologicalCalculus.ResponseImport.query_square;PhonologicalCalculus.fin_a7_responseImport	The source-to-code reader square and descended semantic transformation square commute exactly on the complete reachable image.
FIN-A7.SECTION.02	FIN-A7	lean_closed	PhonologicalCalculus.ResponseImport.mismatch_has_source;PhonologicalCalculus.missing_section_preserves_carrier_decision	Every reachable mismatch denotes a source preimage, while absence of a registered effective section leaves carrier classification available and source-witness output refused.
FIN-A7.CODE.03	FIN-A7	lean_closed	PhonologicalCalculus.ResponseImport;ResponseImport.mem_mismatchCodes_iff;fin_a7_responseImport	The response-import contract carries an exact finite reachable code image, interpretation, semantic equality procedure with correctness proof, reader, descent, and both commuting squares.
FIN-A7.POSITIVESECTION.04	FIN-A7	lean_closed	PhonologicalCalculus.finiteLeastSection_is_section;finiteLeastSection_is_least;sectionOnRange_unique_of_injective	A finite linearly ordered source admits an effective least-preimage section on its complete reachable image, with leastness and injective-case uniqueness.
FIN-A7.REFUSALS.05	FIN-A7	lean_closed	PhonologicalCalculus.missing_section_preserves_carrier_decision;missing_core_field_refuses_carrier	Omitting only the source section preserves carrier readiness and refuses source lifting; omission of any core field refuses the carrier decision.
FIN-A7.METAPROOF	FIN-A7	lean_closed	PhonologicalCalculus.fin_a7_responseImport;section_lifts_every_code;finiteLeastSection_is_section	The integrated bridge, mismatch provenance, semantic-equality correctness, and section theorems jointly establish the registered finite import and witness-lifting boundary.
CHG-B1.RUNMIN.01	CHG-B1	lean_closed	PhonologicalCalculus.ContinuousHG.generalPowerPathHarmony_runningMinimum_le;generalPowerPathHarmony_runningMinimum_lt_of_changed	The running-minimum energy inequality and strict decrease after any changed coordinate hold for every registered real exponent greater than one.
CHG-B1.SIMPLEX.02	CHG-B1	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b1_simplex_02	The exact registered fixture identity and its admissible solid-simplex coordinate correspondence are kernel-checked.
CHG-B1.CONVEX.03	CHG-B1	lean_closed	PhonologicalCalculus.ContinuousHG.rpow_strict_tangent;powerObjective_strict_supporting_hyperplane;generalPower_monotone_simplex_strict_package	The real-power reduced objective has an exact strict supporting-hyperplane proof on the nonnegative orthant for every p greater than one.
CHG-B1.METAPROOF	CHG-B1	lean_closed	PhonologicalCalculus.ContinuousHG.generalPower_monotone_simplex_strict_package	The registered running-minimum, solid-simplex, and real-power strict-convexity components are assembled in one universal theorem.
CHG-B2.ASSUMPTIONS.01	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.exists_generalPowerFirstZeroCell	Every positive h,m and real p greater than one admits a finite canonical threshold cell.
CHG-B2.KKT.02	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.power_unique_minimizer_of_simplex_kkt;powerKKTDecrease_unique_minimizer;generalPower_boundary_optimizer_exists	The general real-power shifted KKT candidate is proved to be the unique solid-simplex optimizer at the boundary horizon.
CHG-B2.EXTENSION.03	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.powerPathDecrease_extension_old;powerPathDecrease_extension_new_zero;generalPower_extension_stable_unique_optimizer;generalPower_profile_extension_stable	The affine multiplier shift preserves the complete old optimizer, appends exact zero decreases, preserves reconstructed profiles, and remains uniquely optimal at every longer horizon.
CHG-B2.BOUNDARY.04	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b2_boundary_04	The equality-side profile, complete zero tail, strict support boundary, and first zero are stated directly and kernel-checked.
CHG-B2.ANCHORS.05	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b2_anchors_05	All three registered rational support indices and profile lists are stated directly and kernel-checked.
CHG-B2.METAPROOF	CHG-B2	lean_closed	PhonologicalCalculus.ContinuousHG.generalPower_unconditional_all_horizon_finite_persistence	The unique threshold, KKT optimizer, exact first-zero profile, and extension-stable all-horizon theorem are composed without a preselected K.
CHG-B3.UNSATURATED.01	CHG-B3	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b3_unsaturated_01	The exact unsaturated decrease vector, reconstructed profile, and strict budget slack are kernel-checked.
CHG-B3.SATURATED.02	CHG-B3	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b3_saturated_02	The exact saturated decrease vector, unit mass, and reconstructed profile are kernel-checked.
CHG-B3.SUPPORT.03	CHG-B3	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b3_support_03;quadraticPositiveFollowerCount_support_iff	All six registered strict support cells and the generic support interpretation of each count are kernel-checked.
CHG-B3.PROJECTION.04	CHG-B3	lean_closed	PhonologicalCalculus.ContinuousHG.quadratic_unconstrained_ratio_distance;chg_b3_projection_04	The generic exact squared distance between two ratio-scaled finite weight vectors is proved, and the registered three-coordinate projection-bound fixture holds by equality before projection.
CHG-B3.METAPROOF	CHG-B3	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b3_complete_quadratic_active_set;quadratic_minimizer_is_metric_projection;solidSimplex_euclidean_convex;quadratic_ratio_minimizers_nonexpansive	The universal quadratic active-set theorem is composed with the exact Euclidean projection bridge and nonexpansiveness theorem for the actual constrained optimizers.
CHG-B4.LITTLEO.01	CHG-B4	lean_closed	PhonologicalCalculus.ContinuousHG.endpointPerturbation_eventually_negative	A positive linear markedness term dominates any edge response that is little-o of the endpoint perturbation, producing a strictly improving nearby candidate.
CHG-B4.QUADRATIC.02	CHG-B4	lean_closed	PhonologicalCalculus.ContinuousHG.clippedQuadraticOptimizer_mem_unit;clippedQuadraticOptimizer_unique_minimizer	The clipped value belongs to the unit interval and is the unique minimizer of the registered one-follower quadratic objective there.
CHG-B4.METAPROOF	CHG-B4	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b4_endpoint_obstruction	The integrated proposition combines the little-o obstruction with the exact quadratic optimizer under the declared hypotheses.
CHG-B5.ENDPOINTS.01	CHG-B5	lean_closed	PhonologicalCalculus.ContinuousHG.sublinear_exponentFace_minimizer_iff_endpoint;linear_exponentFace_all_minimizers;chg_b5_endpoints_01	On the equality face, only the two endpoints minimize for every positive sublinear exponent, whereas every point minimizes at exponent one; the registered grids follow exactly.
CHG-B5.REPAIR.02	CHG-B5	lean_closed	PhonologicalCalculus.ContinuousHG.sublinear_concentrated_repair_le_split;linear_repair_distribution_indifferent;superlinear_split_repair_le_concentrated;chg_b5_repair_02	For a fixed nonnegative two-edge repair, concentration, indifference, and distribution obey the registered weak orders below, at, and above exponent one, with exact finite witnesses.
CHG-B5.METAPROOF	CHG-B5	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b5_full_path_exponent_boundary;sublinear_powerPath_minimizer_above_iff;sublinear_powerPath_minimizer_equal_iff;sublinear_powerPath_minimizer_below_iff;linear_powerPath_minimizer_above_iff;linear_powerPath_minimizer_equal_iff;linear_powerPath_minimizer_below_iff;superlinear_finite_equal_distribution_lowerBound;chg_b5_complete_exponent_boundary	The integrated finite-path proposition assembles exact sublinear and linear optimizer classifications above, at, and below `h = mN`, plus the finite superlinear equal-distribution lower bound. A second integrated proposition retains the exact equality-face and fixed two-edge repair laws. All assumptions, including nonempty horizons and positive weights where used, remain explicit.
CHG-B6.CLASSIFY.01	CHG-B6	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b6_allBack_weak_iff;chg_b6_allBack_unique_iff;chg_b6_superlinear_boundary_ties;chg_b6_linear_boundary_ties	The weak and unique all-back boundaries and both superlinear and linear equality tie sets are classified on the complete admitted integer lattice.
CHG-B6.ONESTEP.02	CHG-B6	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b6_oneStep_difference	The first-edge one-step competitor has exactly the registered harmony difference and therefore supplies boundary necessity.
CHG-B6.METAPROOF	CHG-B6	lean_closed	PhonologicalCalculus.ContinuousHG.uniformLattice_allBack_weak_iff;uniformLattice_allBack_unique_iff;uniformLattice_superlinear_boundary_ties;uniformLattice_linear_boundary_ties	The abstract finite-lattice inequalities, strictness proof, and equality cases specialize to the complete directional path theorem.
CHG-B7.GAUGE.01	CHG-B7	lean_closed	PhonologicalCalculus.ContinuousHG.pathHarmony_common_scale;chg_b7_common_scale_preorder	Common positive scaling multiplies every complete harmony by the same factor and preserves the deterministic preorder exactly.
CHG-B7.PHASE.02	CHG-B7	lean_closed	PhonologicalCalculus.ContinuousHG.quadraticRatioPhaseCell_iff;chg_b7_phase_02	The exact ratio-cell equivalence and all first five registered half-open quadratic phase cells are kernel-checked.
CHG-B7.ASYMPTOTIC.03	CHG-B7	lean_closed	PhonologicalCalculus.ContinuousHG.quadratic_phase_index_div_sqrt_tendsto_two	Every integer phase selector satisfying the triangular inequalities has K(rho)/sqrt(rho) tending to two, without assuming a rounding convention.
CHG-B7.METAPROOF	CHG-B7	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b7_complete_general_power_persistence;generalPowerReachCoefficient_eq_canonical	The integrated all-p theorem supplies gauge invariance, exact phase/first-zero equivalence, unique monotone staircase, and the selection-rule-independent sharp reach asymptotic in the canonical closed form.
CHG-B8.RATIO.01	CHG-B8	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b8_weak_ratio_iff;chg_b8_strict_ratio_iff	The weak and strict lattice boundaries are equivalent to the corresponding dimensionless support-resolution ratio inequalities.
CHG-B8.HORIZON.02	CHG-B8	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b8_weak_horizon_iff;chg_b8_strict_horizon_iff	The weak maximum horizon is the natural floor of the capacity and the strict maximum horizon is one less than its natural ceiling.
CHG-B8.METAPROOF	CHG-B8	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b8_weak_critical_mesh_iff;chg_b8_below_critical_mesh_iff	The critical support mesh gives exact weak-boundary and below-boundary equivalences under the registered positive parameters and superlinear exponent.
CHG-B9.NORMALIZE.01	CHG-B9	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b9_normalize_01;normalizedPhaseDecrease_sum	The registered shifted-power decrease vector has exact unit mass.
CHG-B9.GAPS.02	CHG-B9	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b9_gaps_02;normalizedProfileLoss_powered_gap	The registered gap sequence and the generic powered-gap identity under the declared phase equation are kernel-checked.
CHG-B9.PROFILE.03	CHG-B9	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b9_profile_03;normalizedPhaseProfile_sub_succ	The registered normalized profile and its generic remaining-mass recurrence are kernel-checked.
CHG-B9.METAPROOF	CHG-B9	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b9_complete_optimizer_phase_profile;exists_unique_phaseOffset_of_firstZeroCell;powerPathMass_one_iff_phaseEquation;powerProfileFromDecreases_eq_normalizedPhaseProfile;normalizedPhaseProfile_strict_secondDifference_pos	The exact KKT optimizer proof supplies the unique normalized phase, exact mass equation, full profile identity, powered-gap law, and strict active discrete convexity under the registered first-zero-cell assumptions.
CHG-B10.MONOTONE.01	CHG-B10	lean_closed	PhonologicalCalculus.ContinuousHG.normalizedPhaseProfile_global_mono_ratio;generalPower_boundary_optimizer_profile_global_mono_ratio;chg_b10_monotone_01	Coordinatewise monotonicity is proved for every real p>1 for the actual unique boundary optimizers, including comparisons that cross arbitrarily many support phases; the registered row is an exact instance.
CHG-B10.EXTENSION.02	CHG-B10	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b10_extension_02	The registered quadratic horizon is the first threshold and its unique optimizer remains stable under every finite extension.
CHG-B10.BOUNDARY.03	CHG-B10	lean_closed	PhonologicalCalculus.ContinuousHG.normalizedPhaseProfile_phase_boundary;normalizedPhaseProfile_phase_paste_tendsto;chg_b10_boundary_03;chg_b10_boundary_03_tendsto	For every q>0, adjacent normalized phase formulae paste exactly coordinatewise and the entering profile converges one-sidedly to that boundary; the registered six-coordinate instance is also checked.
CHG-B10.METAPROOF	CHG-B10	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b10_complete_global_comparative_statics;normalizedPhaseProfile_global_mono_ratio;generalPower_boundary_optimizer_profile_global_mono_ratio;generalPowerFirstZeroCell_least_stablePositive;generalPowerFirstZeroCell_all_later_stablePositive;powerPathMinimumValue_concave_all_phases;normalizedPhaseProfile_phase_paste_tendsto	The universal package is exact: global all-p optimizer monotonicity across support changes, explicit least-and-all-later profile-extension stability, all-phase minimum-value concavity, and one-sided continuous phase pasting are assembled in one kernel-checked theorem.
CHG-B11.PHASE.01	CHG-B11	lean_closed	PhonologicalCalculus.ContinuousHG.quadratic_phase_four_iff_ratio_cell;chg_b11_phase_01	Four positive quadratic decreases identify exactly the registered strict/weak ratio cell, including its exact fixture.
CHG-B11.RATIO.02	CHG-B11	lean_closed	PhonologicalCalculus.ContinuousHG.powered_gap_recovers_ratio;powered_gap_pair_consistency;chg_b11_ratio_02	Any admitted nonzero powered gap recovers the common weight ratio and two pairs must agree; the registered pair recovers five exactly.
CHG-B11.TRIPLE.03	CHG-B11	lean_closed	PhonologicalCalculus.ContinuousHG.logConcaveTriple_existsUnique_positive_root;logConcaveTriple_existsUnique_exponentAboveOne;chg_b11_triple_03	For every positive strictly decreasing triple with strict log-concavity, the exponential equation has exactly one positive root and therefore identifies exactly one exponent greater than one; the registered fixture is retained as a direct exact instance.
CHG-B11.SCALE.04	CHG-B11	lean_closed	PhonologicalCalculus.ContinuousHG.common_positive_scale_ratio;chg_b11_scale_04	Common positive scaling preserves the ratio generically and the registered sevenfold scaling preserves the complete deterministic harmony preorder.
CHG-B11.METAPROOF	CHG-B11	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b11_complete_query_relative_identifiability;poweredGapFamilyAdmission_consecutive_triple_identifies	The global admission predicate supplies both consecutive powered-gap equations; the admitted `(p,rho)` satisfies the local system and is the unique admissible pair, while common scaling remains a gauge.
CHG-B12.SEQUENCE.01	CHG-B12	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b12_decimal_sequence;chg_b12_decimal_targets_are_nearest;nearest_rationalGridPoint_of_midpoints	The six registered rational targets, error and nonidentity facts, and global nearest-point property on each stated decimal lattice are kernel-checked.
CHG-B12.DENOMINATOR.02	CHG-B12	lean_closed	PhonologicalCalculus.ContinuousHG.fortyOne_over_fortyTwo_not_terminating_decimal	No natural denominator of the form ten to a power represents 41/42; the proof reduces a hypothetical equality modulo three.
CHG-B12.METAPROOF	CHG-B12	lean_closed	PhonologicalCalculus.ContinuousHG.compact_lattice_minimizers_converge;absent_optimizer_ne_lattice_minimizer;locally_constant_query_eventually_preserved;UniformSimplexLattice.finite;UniformSimplexLattice.nonempty;exists_uniformSimplexLattice_minimizer;exactUniformSimplexLatticeMinimizer_spec;isClosed_solidSimplex;isCompact_solidSimplex;uniformSimplexFloorApprox_mem;uniformSimplexFloorApprox_coordinate_tendsto;uniformSimplexFloorApprox_tendsto;uniformSimplexLattice_minimizers_converge;exactUniformSimplexLatticeMinimizer_tendsto;chg_b12_uniformSimplexLattice_convergence_without_identity;chg_b12_exactUniformSimplexLattice_selectedMinimizers;chg_b12_lattice_convergence_without_identity	Lean now discharges the complete uniform-simplex lattice foundation internally: finite/nonempty grids, exact argmin existence and canonical choice, compact carrier, explicit coordinatewise floor approximation with membership and convergence, and convergence of both arbitrary exact grid minimizers and the canonical selected minimizers. Under lattice absence, exact identity fails at every stage, while every locally constant query is eventually preserved. The older abstract compact-subset theorem remains as a reusable generic layer.
CHG-B13.PARABOLA.01	CHG-B13	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b13_parabola_01	The registered quadratic normalized-profile anchor converges exactly to 4/9.
CHG-B13.DENSITY.02	CHG-B13	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b13_density_02;scalingDensity_intervalIntegral	The generic decrement density has unit mass, and its registered quadratic first moment is exactly 1/3.
CHG-B13.QUANTILE.03	CHG-B13	lean_closed	PhonologicalCalculus.ContinuousHG.chg_b13_quantile_03;scalingProfile_at_repairQuantile;scalingRepairFraction_at_quantile	The registered quadratic median repair quantile is exactly one half, and the general-p closed-form quantile inverts the analytic accumulated-repair profile for every admitted fraction in the unit interval.
