equation_label	source_file	lean_declarations	status	scope_note
eq:maxent-basic-cone	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.max_g6_cone_02	registered_fixture_checked	The Basic Syllable live-cone inequalities are checked exactly.
eq:maxent-response-jet	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.max_g7_contact_02_mixedGerm	theorem_checked	The normalized log-law mixed-germ theorem gives the exact cumulant/contact relation at the registered finite-ledger scope.
eq:maxent-capacity	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.max_g8_capacity_02_general	theorem_checked	The general contact-and-reversal capacity bound is proved relative only to the explicit Rolle-multiplicity foundation parameter.
eq:maxent-incomparability	proofs/shared/equations/maxent.tex	PhonologicalCalculus.MaxEnt.max_g9_lawtoenv_01;PhonologicalCalculus.MaxEnt.max_g9_envtolaw_02	theorem_checked	The two exact countermodels prove both nonimplications between normalized-law and envelope information.
eq:sel-events	proofs/shared/equations/selected.tex	PhonologicalCalculus.Selection.selectedEvent_subset_pairwise	theorem_checked	The selected-region and pairwise-event definitions are connected by exact inclusion.
eq:sel-ray-condition	proofs/shared/equations/selected.tex	PhonologicalCalculus.Selection.selectedEvent_eq_pairwise_iff_positiveRays	theorem_checked	Equality of selected and pairwise events is equivalent to positive-ray collinearity.
eq:sel-countergrammar	proofs/shared/equations/selected.tex	PhonologicalCalculus.Selection.counterexampleFaithfulness;PhonologicalCalculus.Selection.counterexampleMarkedness	definition_checked	The two displayed countergrammar matrices are represented exactly.
eq:sel-score-rows	proofs/shared/equations/selected.tex	PhonologicalCalculus.Selection.sel_f2_scores_01	registered_fixture_checked	The complete raw score rows are computed exactly.
eq:sel-region-distances	proofs/shared/equations/selected.tex	PhonologicalCalculus.Selection.sel_f2_euclidean_02	registered_fixture_checked	The Euclidean projection distances and strict reversal are computed exactly.
eq:sup-objective	proofs/shared/equations/support.tex	PhonologicalCalculus.Support.EndpointPathKKT	contract_checked	The generic path objective is consumed through an explicit edge/site KKT contract; Lean does not identify arbitrary functions Phi and Psi without the contract hypotheses.
eq:sup-slope	proofs/shared/equations/support.tex	PhonologicalCalculus.Support.sup_e1_completeEndpointWinnerBridge	theorem_checked	Zero endpoint site slope forces a full finite prefix and positive slope forces the exact strict support ceiling relative to the KKT-to-winner contract.
eq:sup-matched	proofs/shared/equations/support.tex	PhonologicalCalculus.Support.sup_e3_general_real_exponent	theorem_checked	The matched-power infinite objective, geometric optimizer, and exact decay equation are proved for every real exponent greater than one.
eq:sup-geometric	proofs/shared/equations/support.tex	PhonologicalCalculus.Support.matchedPower_unique_global_minimizer	theorem_checked	The geometric profile satisfying the displayed decay equation is the unique global minimizer.
eq:sup-continuation	proofs/shared/equations/support.tex	PhonologicalCalculus.Support.sup_e4_general_real_exponent	theorem_checked	The Bellman continuation coefficient and exact finite continuation law are proved for every real exponent greater than one.
