"check_id"	"result_id"	"proof_goal_id"	"check_type"	"lean_declarations"	"status"
"SUP-E4.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"SUP-E4"	"SUP-E4.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Support.sup_e4_general_real_exponent;matchedPower_finite_continuation_lower_bound;matchedPower_finite_equality_profile;matchedPower_continuationCoefficient_unique"	"PASS"
"SEL-F1.MEASURE.04.LEAN-KERNEL-REFERENCE.CHECK"	"SEL-F1"	"SEL-F1.MEASURE.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Selection.selectedEvent_eq_pairwise_iff_positiveRays;measure_selectedEvent_eq_pairwise_of_positiveRays;exists_open_spherical_gap_of_not_positiveRayFamily;haarSphereProbability_selected_lt_pairwise_of_not_positiveRayFamily;sel_f1_open_patch_measure_proof"	"PASS"
"SEL-F2.COMMONLAW.04.LEAN-KERNEL-REFERENCE.CHECK"	"SEL-F2"	"SEL-F2.COMMONLAW.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.Selection.sel_f2_commonlaw_04;sel_f2_commonlaw_euclidean;sel_f2_commonlaw_frobenius;haarSphereProbability_open_pos;exists_positive_twoShell_reversal;sel_f2_common_twoShell_positive_reversal_euclidean;sel_f2_common_twoShell_positive_reversal_frobenius;sel_f2_common_twoShell_positive_reversal"	"PASS"
"MAX-G1.CLOSURE.03.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G1"	"MAX-G1.CLOSURE.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g1_closure_03;closure_openActivityCube;continuous_nonneg_on_closure"	"PASS"
"MAX-G3.REDUCTION.03.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G3"	"MAX-G3.REDUCTION.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g3_strictifierPolynomial_complete;compileExplicitBoundedETRINVOneHot_correct;compileExplicitBoundedETRINVOneHot_row_count_le;compileExplicitBoundedETRINVOneHot_size_polynomial;ExecutableQuarticCode.unitTarget_row_count;ExecutableQuarticCode.unitTagDimension_eq_coefficientL1;ExecutableQuarticCode.executableOneHotOrderCode_size_eq;ExecutableQuarticCode.unitTarget_row_bounds;ExecutableQuarticCode.unitTagLiftValue_allOne;ExecutableQuarticCode.unitCommon_mul_sourceValue_le_tagLift;ExecutableQuarticCode.executableOneHot_universalOrder_iff"	"PASS"
"MAX-G4.COMPLEXITY.04.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G4"	"MAX-G4.COMPLEXITY.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.compileExecutableProperCNFSelectorCode_correct;compileDuplicateFreeExecutableProperCNFSelector_correct;compileExecutableProperCNFSelector_rowCount_le;compileExecutableProperCNFSelector_size_le;executableSelectorCompilerCost_le;compileDuplicateFreeExecutableProperCNFSelector_size_le;compiledExecutableCNFNegativeVerifier_steps_le;executableProperCNFSelectorReduction;executableCNFComplementProofWitness;ExecutableCNFConventionalBoundary;max_g4_executableCNF_conditionalCompleteness;executableSelectorNormalizationCharge_le;compileDuplicateFreeExecutableProperCNFSelectorWithCharge_le"	"PASS"
"MAX-G5.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G5"	"MAX-G5.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g5_completeTypedVacuityCollapse;allCategoricalEventsEmpty_implies_allMutualImplications;allMutualProbabilityOrders_iff_differenceKernel;mutualTransportWeightRegion_eq_nonnegativeKernel;max_g5_collapse_iff_positiveRowSpace"	"PASS"
"MAX-G6.METAPROOF.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G6"	"MAX-G6.METAPROOF"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g6_completeBasicSyllableDecomposition;basicSyllableCollapseMultiplier_exact;basicSyllableMixedCone_iff_zero"	"PASS"
"MAX-G7.FACTORIZATION.04.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G7"	"MAX-G7.FACTORIZATION.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g7_factorization_04_mixedLawJet;leastMixedInterpolationDegree_spec;nonempty_collectedCrossPresentation"	"PASS"
"MAX-G8.CHEBYSHEV.04.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G8"	"MAX-G8.CHEBYSHEV.04"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g8_chebyshev_04_general;exponentialResponse_zeroMultiplicity_bound"	"PASS"
"MAX-G9.CONVEX.03.LEAN-KERNEL-REFERENCE.CHECK"	"MAX-G9"	"MAX-G9.CONVEX.03"	"LeanKernelProofReferenceCheck"	"PhonologicalCalculus.MaxEnt.max_g9_convex_03_relativeInterior;max_g9_convex_03_response_relativeInterior;max_g9_positiveMassResponseSet_eq_iff_envelope_eq;max_g9_robustSignDirections_eq_nonnegativePolar_envelope"	"PASS"
