"proof_id"	"result_id"	"proof_goal_id"	"declared_classification"	"proof_method"	"direct_package_dependencies"	"transitive_dependency_count"	"system_symbol_count"	"wolfram_pass"	"python_algorithm"	"python_must_check"
"CALC-R03.REFUSAL.01.WOLFRAM-PROOF"	"CALC-R03"	"CALC-R03.REFUSAL.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`preservationClassifier"	25	8	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-R04.SURJECTIVITY.01.WOLFRAM-PROOF"	"CALC-R04"	"CALC-R04.SURJECTIVITY.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	""	0	6	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R04.FRONTIER.02.WOLFRAM-PROOF"	"CALC-R04"	"CALC-R04.FRONTIER.02"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	""	0	16	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R05.ORBIT.01.WOLFRAM-PROOF"	"CALC-R05"	"CALC-R05.ORBIT.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`mapValue"	1	13	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R06.ORBITS.01.WOLFRAM-PROOF"	"CALC-R06"	"CALC-R06.ORBITS.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`inducedOrbitMap;SecondOrderPhonologyVerification`Private`injectiveMapQ;SecondOrderPhonologyVerification`Private`mapCollisions;SecondOrderPhonologyVerification`Private`orbitCollisionSet"	5	9	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R07.OUTBOUND.01.WOLFRAM-PROOF"	"CALC-R07"	"CALC-R07.OUTBOUND.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	""	0	9	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R08.STATUS.01.WOLFRAM-PROOF"	"CALC-R08"	"CALC-R08.STATUS.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	""	0	7	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-R09.MASS.01.WOLFRAM-PROOF"	"CALC-R09"	"CALC-R09.MASS.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	""	0	16	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"CALC-R10.CYCLE.01.WOLFRAM-PROOF"	"CALC-R10"	"CALC-R10.CYCLE.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`structuralNonterminationQ"	2	16	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R11.FIBRE.01.WOLFRAM-PROOF"	"CALC-R11"	"CALC-R11.FIBRE.01"	"ExactSymbolicPass"	"ExactSymbolicProof"	""	0	8	true	"ExactSymbolicProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Normalize the exact arithmetic or symbolic identity under the explicitly encoded assumptions. | Verify all denominators, domains, strict boundaries, and branch conditions before accepting the equality or inequality."
"CALC-R12.SERIES.01.WOLFRAM-PROOF"	"CALC-R12"	"CALC-R12.SERIES.01"	"ExactSymbolicPass"	"ExactSymbolicProof"	""	0	18	true	"ExactSymbolicProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Normalize the exact arithmetic or symbolic identity under the explicitly encoded assumptions. | Verify all denominators, domains, strict boundaries, and branch conditions before accepting the equality or inequality."
"CALC-R13.MISMATCH.01.WOLFRAM-PROOF"	"CALC-R13"	"CALC-R13.MISMATCH.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	""	0	11	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"CALC-R14.BELL.01.WOLFRAM-PROOF"	"CALC-R14"	"CALC-R14.BELL.01"	"ExactSymbolicPass"	"ExactSymbolicProof"	""	0	4	true	"ExactSymbolicProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Normalize the exact arithmetic or symbolic identity under the explicitly encoded assumptions. | Verify all denominators, domains, strict boundaries, and branch conditions before accepting the equality or inequality."
"CALC-R15.EXTERNAL.01.WOLFRAM-PROOF"	"CALC-R15"	"CALC-R15.EXTERNAL.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`finiteBaseContract;SecondOrderPhonologyVerification`Private`incompleteScientificStatus;SecondOrderPhonologyVerification`Private`preservationClassifier"	26	7	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A1.INVERSE.01.WOLFRAM-PROOF"	"FIN-A1"	"FIN-A1.INVERSE.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`inducedOrbitMap;SecondOrderPhonologyVerification`Private`injectiveMapQ;SecondOrderPhonologyVerification`Private`orbitCollisionSet"	5	19	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"FIN-A1.EMPTY.02.WOLFRAM-PROOF"	"FIN-A1"	"FIN-A1.EMPTY.02"	"ExactConstructivePass"	"ConstructiveWitnessProof"	""	0	4	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A1.EQUIVARIANCE.03.WOLFRAM-PROOF"	"FIN-A1"	"FIN-A1.EQUIVARIANCE.03"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`inducedOrbitMap;SecondOrderPhonologyVerification`Private`totalMapQ"	5	16	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"FIN-A1.NEGATIVE.04.WOLFRAM-PROOF"	"FIN-A1"	"FIN-A1.NEGATIVE.04"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`inducedOrbitMap;SecondOrderPhonologyVerification`Private`injectiveMapQ;SecondOrderPhonologyVerification`Private`leftInverseOnImage;SecondOrderPhonologyVerification`Private`orbitCollisionSet"	6	10	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A2.PROOF.01.WOLFRAM-PROOF"	"FIN-A2"	"FIN-A2.PROOF.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`injectiveMapQ;SecondOrderPhonologyVerification`Private`leftInverseOnImage;SecondOrderPhonologyVerification`Private`mapValue"	4	16	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A2.OUTBOUND.02.WOLFRAM-PROOF"	"FIN-A2"	"FIN-A2.OUTBOUND.02"	"ExactConstructivePass"	"ConstructiveWitnessProof"	""	0	9	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A2.COHERENCE.03.WOLFRAM-PROOF"	"FIN-A2"	"FIN-A2.COHERENCE.03"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`sourceIdentity"	5	19	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"FIN-A3.MARGINALS.01.WOLFRAM-PROOF"	"FIN-A3"	"FIN-A3.MARGINALS.01"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`canonicalAnswer"	1	21	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A3.NONTERMINATION.02.WOLFRAM-PROOF"	"FIN-A3"	"FIN-A3.NONTERMINATION.02"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`normalizedLaw"	1	11	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A3.EDGECASES.03.WOLFRAM-PROOF"	"FIN-A3"	"FIN-A3.EDGECASES.03"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`structuralNonterminationQ"	2	25	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"FIN-A3.TYPES.04.WOLFRAM-PROOF"	"FIN-A3"	"FIN-A3.TYPES.04"	"ExactConstructivePass"	"ConstructiveWitnessProof"	""	0	16	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
"FIN-A4.KERNEL.01.WOLFRAM-PROOF"	"FIN-A4"	"FIN-A4.KERNEL.01"	"ExhaustiveFinitePass"	"FiniteEnumerationProof"	"SecondOrderPhonologyVerification`Private`mapKernel;SecondOrderPhonologyVerification`Private`queryFactorsThroughQ"	3	9	true	"FiniteEnumerationProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the declared finite domain and independently visit every member exactly once. | Recompute each predicate, partition, relation, count, or aggregate and verify completeness and duplicate-free coverage."
"FIN-A4.CONVERSES.02.WOLFRAM-PROOF"	"FIN-A4"	"FIN-A4.CONVERSES.02"	"ExactConstructivePass"	"ConstructiveWitnessProof"	"SecondOrderPhonologyVerification`Private`directObservationPartition;SecondOrderPhonologyVerification`Private`queryFactorsThroughQ"	5	10	true	"ConstructiveWitnessProof"	"Parse the tagged neutral AST without evaluating Wolfram Language text. | Reject opaque atoms and inexact real nodes in a mandatory exact proof record. | Resolve every package dependency through an independently implemented and versioned Python translation registry. | Recompute the proof-goal result from the neutral expression and source-transcribed constants; do not trust the exported Wolfram result or pass flag. | Compare recomputed actual and expected values by typed canonical structural equality. | Reconstruct the explicit witness, map, profile, matrix, or counterexample. | Evaluate every defining predicate and verify that the witness has the declared type and lies in the declared domain."
