inventory_number	source_group	textgrid_basename	source_textgrid_relative_path	source_textgrid_size_bytes	source_textgrid_sha256	cell	target_hanzi_interval_1based	target_script_character_index_1based	occurrence_ordinal_within_cell	target_hanzi	hanzi_script	analysis_split	left_context_8	immediate_previous_hanzi	immediate_next_hanzi	right_context_8	construction_scope_class	construction_subtype	scope_rule_id	scope_evidence	wu_source_location	corrected_predicted_category	original_predicted_category	original_raw_target_pinyin	original_observed_category	original_decision	corrected_decision	acoustic_frame_status	scope_assignment_uses_pinyin	scope_assignment_uses_audio
834	SSB0009	SSB00090385.TextGrid	834/SSB00090385.TextGrid	2750	42fc75ad6d4e26fe3646a73415b4912ba8c1488544ebd23531dd13cddeee6aca	BARE	6	5	1	一	墙体敲了一个洞	development	墙体敲了	了	个	个洞	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
880	SSB0009	SSB00090434.TextGrid	880/SSB00090434.TextGrid	2999	eb72b6ebcbe7c778d2bf14c9e72264d32601fd10a3ae52c67b4a2ed50509dce5	BARE	9	8	1	一	伊迪丝是不是下一个	development	伊迪丝是不是下	下	个	个	CLEAR_SIMPLEX	SIMPLEX_SEQUENTIAL_XIA	R3_REMAINING_SIMPLEX_YI_GE	visible_string=下一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
932	SSB0009	SSB00090486.TextGrid	932/SSB00090486.TextGrid	4272	bba3a7b2b23cb119831cbe3b5973d371de3ea4c695773c067ac955679214ec3e	BARE	8	7	1	一	此地的国王是一个驼背小老头	development	此地的国王是	是	个	个驼背小老头	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1132	SSB0011	SSB00110176.TextGrid	1132/SSB00110176.TextGrid	3121	227d8178dcd7b5ce948e16b464279a3c90dff68f84a5604a51bc3244aed10856	BARE	8	6	1	一	听一首歌念一个人	development	听一首歌念	念	个	个人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1151	SSB0011	SSB00110195.TextGrid	1151/SSB00110195.TextGrid	5720	36c4da0077a9c682dcf20f582932115017d6f95cd9dbcecdef4e73aaebeb9bae	BARE	7	6	1	一	与所辖四十一个单位二千人签署确认书	development	与所辖四十	十	个	个单位二千人签署	CLEAR_COMPLEX_LAST_DIGIT	COMPLEX_CARDINAL_FINAL_DIGIT	R1_COMPLEX_FINAL_DIGIT	visible_multi_digit_cardinal=四十一; selected_一_is_final_digit_before_个	Wu 2024 journal p.381 example (28)	YI_T1	YI_T2	yi1	YI_T1	COUNTEREXAMPLE	MATCH	ELIGIBLE_COMPLEX_CONTROL_NOT_POOLED	FALSE	FALSE
1207	SSB0011	SSB00110255.TextGrid	1207/SSB00110255.TextGrid	5511	d4c25670890a963695e8427c0f7fc66136d9a4f479126d624efc7534e9febe67	BARE	10	9	1	一	第一次锻炼就骑了一个小时的动感单车	development	第一次锻炼就骑了	了	个	个小时的动感单车	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1232	SSB0011	SSB00110281.TextGrid	1232/SSB00110281.TextGrid	7766	11a55ad257ee48cc05752738310e818a0fd48086dc3b8087c50ac2fc03c94d2e	BARE	5	4	1	一	将会有一个小小的神器将为众多参赛者选手保驾护航	development	将会有	有	个	个小小的神器将为	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1286	SSB0011	SSB00110335.TextGrid	1286/SSB00110335.TextGrid	2941	092892726b933982994d89507bd5c5b06320a768af7535b654ec2926bd1d96e1	BARE	6	5	1	一	你还欠我一个拥抱	development	你还欠我	我	个	个拥抱	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1372	SSB0011	SSB00110425.TextGrid	1372/SSB00110425.TextGrid	6233	d90dc0f197d0bfffc59f91f843a05e1e1e105dda1982375ba7c1dabab8fb151a	BARE	4	3	1	一	它有一个我们都很陌生的名字自动体外除颤器	development	它有	有	个	个我们都很陌生的	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1442	SSB0012	SSB00120021.TextGrid	1442/SSB00120021.TextGrid	6160	148291936d81075b68c53ef9e264e96068241d9283ed0f5c582001f52b17b9e3	BARE	4	3	1	一	最后一个担心的理由是金融危机的变幻莫测	development	最后	后	个	个担心的理由是金	CLEAR_SIMPLEX	SIMPLEX_SEQUENTIAL_ZUIHOU	R3_REMAINING_SIMPLEX_YI_GE	visible_string=最后一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1560	SSB0012	SSB00120145.TextGrid	1560/SSB00120145.TextGrid	3550	78125d360fc2983e278c5db67e0b7df6839de710bd11ad973551b05477c6f8a2	BARE	7	6	1	一	岩石间豁开一个大裂口	development	岩石间豁开	开	个	个大裂口	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1673	SSB0012	SSB00120262.TextGrid	1673/SSB00120262.TextGrid	3166	edb8f985e81daf58958268e2c12a7cd22e7aa2dff015fd7db5d5ee18c2e1f673	BARE	8	7	1	一	身形离奇胀了一个码	development	身形离奇胀了	了	个	个码	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1702	SSB0012	SSB00120294.TextGrid	1702/SSB00120294.TextGrid	4716	8fa9fe29043128b06becc3c6a0ff62aa03bfcbb83544f1cd2e524717ac935f35	BARE	2	1	1	一	一个完完全全的陌生人身上了	development		START	个	个完完全全的陌生	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi1	YI_T1	COUNTEREXAMPLE	COUNTEREXAMPLE	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1728	SSB0012	SSB00120320.TextGrid	1728/SSB00120320.TextGrid	3960	54fe71e69243083acc857666e59d315e6b0e1769242ce5bf785ec610b33301dc	BARE	9	8	1	一	你将是他的最后一个受害者	development	你将是他的最后	后	个	个受害者	CLEAR_SIMPLEX	SIMPLEX_SEQUENTIAL_ZUIHOU	R3_REMAINING_SIMPLEX_YI_GE	visible_string=最后一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1769	SSB0012	SSB00120365.TextGrid	1769/SSB00120365.TextGrid	4719	f36f5921a57ed89f02ee48da53c24c8093fdd38f4c4ba8b5929835cc434116d1	BARE	6	5	1	一	然后出现一个满脸皱纹的老头子	development	然后出现	现	个	个满脸皱纹的老头	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1813	SSB0012	SSB00120414.TextGrid	1813/SSB00120414.TextGrid	4265	eb8f19bc831f532af9e6d4d7b8a5e6390044951c3894a4f00b40249054f29e7d	BARE	12	11	1	一	停机场的事我只告诉过一个人	development	场的事我只告诉过	过	个	个人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1858	SSB0012	SSB00120462.TextGrid	1858/SSB00120462.TextGrid	5786	e913b036660f96234e7d55256e14545d8d6c68cee4853e7cfe8da9fcdd3472ec	BARE	5	4	1	一	见证了一个低倍了美国梦之队的中国队	development	见证了	了	个	个低倍了美国梦之	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1891	SSB0012	SSB00120497.TextGrid	1891/SSB00120497.TextGrid	3965	f6eaaa560584538084ae340a060336135408eee87199d2b21cca96a75583cf82	BARE	10	9	1	一	这种方法渗透到每一个细胞	development	这种方法渗透到每	每	个	个细胞	CLEAR_SIMPLEX	SIMPLEX_MODIFIED_MEI	R3_REMAINING_SIMPLEX_YI_GE	visible_string=每一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
1916	SSB0016	SSB00160010.TextGrid	1916/SSB00160010.TextGrid	6411	e8e21a258a705b568682733bac70d71dcf04b316ca2d1b59b41bd0ecf7db50d7	BARE	9	8	1	一	我不觉得自己是一个关注精神健康的活跃分子	confirmation	我不觉得自己是	是	个	个关注精神健康的	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2053	SSB0016	SSB00160153.TextGrid	2053/SSB00160153.TextGrid	3504	1bf5dfa03f795e85fa7f6b7665ae1f7b5327a4e0ae3ad3129e0dd0b721238e20	BARE	9	8	1	一	有个晚上我做了一个梦	confirmation	有个晚上我做了	了	个	个梦	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2083	SSB0016	SSB00160185.TextGrid	2083/SSB00160185.TextGrid	4384	2838ab46ed02fbea96b52e01cc1b13c06843c15edf10830c90e1074e4309d631	BARE	10	9	1	一	这是在巴基斯坦的一个小村庄	confirmation	这是在巴基斯坦的	的	个	个小村庄	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2177	SSB0016	SSB00160285.TextGrid	2177/SSB00160285.TextGrid	1835	14a24a25e5a02d910703a18740c70c371754e236e1358e0ac1002cd2d9461fb1	BARE	4	3	1	一	播放一个	confirmation	播放	放	个	个	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2207	SSB0016	SSB00160315.TextGrid	2207/SSB00160315.TextGrid	3573	6e95a2bed7638ed8a3156079b0aa3fb78e837042e05e695533d3c31f764014d6	BARE	5	4	1	一	要嫁给一个很棒的男人	confirmation	要嫁给	给	个	个很棒的男人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2275	SSB0016	SSB00160389.TextGrid	2275/SSB00160389.TextGrid	3791	95a8c6895d03a37be4b6887f7045ec75983f407be43bea09fc1fd59f315e7871	BARE	2	1	1	一	一个像夏天一个像秋天	confirmation		START	个	个像夏天一个像秋	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2275	SSB0016	SSB00160389.TextGrid	2275/SSB00160389.TextGrid	3791	95a8c6895d03a37be4b6887f7045ec75983f407be43bea09fc1fd59f315e7871	BARE	7	6	2	一	一个像夏天一个像秋天	confirmation	一个像夏天	天	个	个像秋天	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2288	SSB0016	SSB00160403.TextGrid	2288/SSB00160403.TextGrid	3993	89a2859d67e97b91dae8f3c9811aebd045bbe18fcdc64177d7544949239414e7	BARE	7	6	1	一	我受够了你一个人的自以为是	confirmation	我受够了你	你	个	个人的自以为是	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2373	SSB0016	SSB00160492.TextGrid	2373/SSB00160492.TextGrid	4525	7aa191e29d313153b83f24ccf5425137af3549ae8ce3c2099087284390ba667b	BARE	4	3	1	一	这是一个形成鲜明对比的中国	confirmation	这是	是	个	个形成鲜明对比的	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2412	SSB0018	SSB00180024.TextGrid	2412/SSB00180024.TextGrid	2308	d7e632a66ff595dd603dd80f18ed0c83315bf62cc191021faea811b5c40b6d6f	BARE	4	3	1	一	我的一个亲戚	development	我的	的	个	个亲戚	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2456	SSB0018	SSB00180073.TextGrid	2456/SSB00180073.TextGrid	3327	413363521e27b951a76153044ef812e7deaf56f08fef4275f89ba188afc62b20	BARE	7	6	1	一	但是我没有一个好案子	development	但是我没有	有	个	个好案子	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
2492	SSB0018	SSB00180119.TextGrid	2492/SSB00180119.TextGrid	2931	b441156deaf624d3c8279d9debef2185c44710d4647fa0de0479ffabaee4df3a	BARE	8	6	1	一	搜一搜给我一个吻	development	搜一搜给我	我	个	个吻	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
