root,template,unrounded,stratum,final_low_vowel,target_intended_incidences,target_covered_incidences,target_scoreable,acc_intended_incidences,acc_covered_incidences,acc_input_available,acc_interpretable_available,outer_fold
a'ile,BF,True,BF|true,e,568,568,True,163,163,True,True,3
eza,FB,True,FB|true,a,20,20,True,9,9,True,True,3
famile,BF,True,BF|true,e,3,3,True,9,9,True,True,2
figura,BB,False,BB|false,a,4,4,True,3,3,True,True,3
forma,BB,False,BB|false,a,6,6,True,3,3,True,True,4
formula,BB,False,BB|false,a,3,3,True,2,2,True,True,3
fédératsiye,BF,True,BF|true,e,3,3,True,0,0,False,False,3
gazarma,BB,True,BB|true,a,24,24,True,2,2,True,True,0
geme,FF,True,FF|true,e,14,14,True,10,10,True,True,3
gende,FF,True,FF|true,e,2,2,True,3,3,True,True,0
gewde,FF,True,FF|true,e,93,93,True,12,12,True,True,2
ghalcha,BB,True,BB|true,a,1,1,True,0,0,False,False,3
ghaye,BF,True,BF|true,e,51,51,True,48,48,True,True,1
ghelbe,FF,True,FF|true,e,25,25,True,19,19,True,True,4
ghelibe,FF,True,FF|true,e,107,107,True,57,57,True,True,0
ghora,BB,False,BB|false,a,1,1,True,1,1,True,True,4
ghulghula,BB,False,BB|false,a,33,33,True,3,3,True,True,1
ghulja,BB,False,BB|false,a,850,850,True,46,46,True,True,1
gimnaziye,BF,True,BF|true,e,9,9,True,2,2,True,True,2
gundixana,BB,False,BB|false,a,1,0,False,0,0,False,False,4
guruppa,BB,False,BB|false,a,166,166,True,51,51,True,True,0
guwahname,BF,False,BF|false,e,4,4,True,3,3,True,True,3
gézitxana,BB,True,BB|true,a,33,21,True,3,3,True,True,4
güldürmama,BB,False,BB|false,a,1,1,True,0,0,False,False,2
güldürme,FF,False,FF|false,e,1,1,True,0,0,False,False,0
gülxana,BB,False,BB|false,a,6,1,True,0,0,False,False,4
hadise,BF,True,BF|true,e,3,3,True,3,3,True,True,0
hajetxana,BB,True,BB|true,a,51,41,True,9,7,True,True,0
hamile,BF,True,BF|true,e,5,5,True,28,28,True,True,0
harwa,BB,True,BB|true,a,34,34,True,14,14,True,True,4
hasa,BB,True,BB|true,a,13,13,True,3,3,True,True,4
hawa,BB,True,BB|true,a,260,260,True,58,58,True,True,2
hawale,BF,True,BF|true,e,1,1,True,0,0,False,False,3
hediye,FF,True,FF|true,e,4,4,True,7,7,True,True,1
hemshire,FF,True,FF|true,e,1,1,True,0,0,False,False,0
hemze,FF,True,FF|true,e,3,3,True,1,1,True,True,3
hepse,FF,True,FF|true,e,21,21,True,0,0,False,False,2
hepte,FF,True,FF|true,e,1001,1001,True,12,12,True,True,1
here,FF,True,FF|true,e,1,1,True,1,1,True,True,4
hesse,FF,True,FF|true,e,141,141,True,8,8,True,True,0
heywe,FF,True,FF|true,e,2,2,True,2,2,True,True,4
hikaye,BF,True,BF|true,e,5,5,True,7,7,True,True,4
himaye,BF,True,BF|true,e,12,12,True,0,0,False,False,4
hoyla,BB,False,BB|false,a,230,230,True,36,36,True,True,4
hujra,BB,False,BB|false,a,8,8,True,0,0,False,False,2
hékaye,BF,True,BF|true,e,40,40,True,100,100,True,True,4
hüjeyre,FF,False,FF|false,e,10,10,True,5,5,True,True,4
i'ane,BF,True,BF|true,e,2,2,True,1,1,True,True,1
ibadetxana,BB,True,BB|true,a,26,25,True,9,5,True,True,0
ibare,BF,True,BF|true,e,20,20,True,102,102,True,True,0
idare,BF,True,BF|true,e,131,131,True,10,10,True,True,0
ijare,BF,True,BF|true,e,404,404,True,1,1,True,True,3
ijazetname,BF,True,BF|true,e,2,2,True,1,1,True,True,1
ilawe,BF,True,BF|true,e,3,3,True,1,1,True,True,0
ipade,BF,True,BF|true,e,15,15,True,13,13,True,True,4
irade,BF,True,BF|true,e,55,55,True,31,31,True,True,2
ishxana,BB,True,BB|true,a,84,84,True,6,6,True,True,2
iskenje,FF,True,FF|true,e,74,74,True,0,0,False,False,1
ispatname,BF,True,BF|true,e,2,2,True,0,0,False,False,0
istansa,BB,True,BB|true,a,27,27,True,0,0,False,False,0
jakarname,BF,True,BF|true,e,1,1,True,1,1,True,True,4
jame,BF,True,BF|true,e,16,16,True,6,6,True,True,4
jangza,BB,True,BB|true,a,4,4,True,0,0,False,False,1
jaza,BB,True,BB|true,a,578,578,True,81,81,True,True,1
jerimane,BF,True,BF|true,e,11,11,True,22,22,True,True,0
jezire,FF,True,FF|true,e,5,5,True,1,1,True,True,0
joghrapiye,BF,False,BF|false,e,1,1,True,0,0,False,False,2
joza,BB,False,BB|false,a,38,38,True,7,7,True,True,2
jughlanma,BB,False,BB|false,a,2,2,True,1,1,True,True,4
jughrapiye,BF,False,BF|false,e,30,30,True,6,6,True,True,4
juwawa,BB,False,BB|false,a,2,2,True,2,2,True,True,0
kafédra,BB,True,BB|true,a,18,18,True,1,1,True,True,4
kala,BB,True,BB|true,a,15,15,True,0,0,False,False,0
kalla,BB,True,BB|true,a,27,27,True,8,8,True,True,0
kaloriye,BF,False,BF|false,e,1,1,True,1,1,True,True,1
kana,BB,True,BB|true,a,37,37,True,26,26,True,True,3
kapaletname,BF,True,BF|true,e,6,6,True,2,2,True,True,1
karta,BB,True,BB|true,a,22,22,True,32,32,True,True,1
karxana,BB,True,BB|true,a,76,24,True,36,16,True,True,1
kasa,BB,True,BB|true,a,1,1,True,2,2,True,True,2
kashila,BB,True,BB|true,a,29,29,True,4,4,True,True,3
kassa,BB,True,BB|true,a,11,11,True,2,2,True,True,3
katégoriye,BF,False,BF|false,e,77,77,True,4,4,True,True,3
kawa,BB,True,BB|true,a,2,2,True,2,2,True,True,2
kawapxana,BB,True,BB|true,a,1,1,True,1,1,True,True,0
kelime,FF,True,FF|true,e,2,2,True,13,13,True,True,2
kepe,FF,True,FF|true,e,14,14,True,1,1,True,True,1
kepterxana,BB,True,BB|true,a,1,0,False,0,0,False,False,2
kinaye,BF,True,BF|true,e,2,2,True,4,4,True,True,1
kinoxana,BB,False,BB|false,a,7,7,True,2,2,True,True,3
kitabche,BF,True,BF|true,e,5,5,True,9,9,True,True,2
kitabxana,BB,True,BB|true,a,17,17,True,7,7,True,True,3
kocha,BB,False,BB|false,a,888,888,True,78,78,True,True,2
komanda,BB,False,BB|false,a,44,44,True,25,25,True,True,2
kommuna,BB,False,BB|false,a,1,1,True,0,0,False,False,0
kompaniye,BF,False,BF|false,e,2,2,True,0,0,False,False,1
komédiye,BF,False,BF|false,e,1,1,True,0,0,False,False,1
konsulxana,BB,False,BB|false,a,46,42,True,6,5,True,True,1
kopiye,BF,False,BF|false,e,1,1,True,0,0,False,False,3
koza,BB,False,BB|false,a,5,5,True,1,1,True,True,3
kula,BB,False,BB|false,a,1,1,True,0,0,False,False,2
kutupxana,BB,False,BB|false,a,34,34,True,7,7,True,True,3
kélishimname,BF,True,BF|true,e,7,7,True,7,7,True,True,0
kömürxana,BB,False,BB|false,a,3,2,True,0,0,False,False,4
körgezme,FF,False,FF|false,e,465,465,True,188,188,True,True,3
körgezmixana,BB,False,BB|false,a,4,4,True,0,0,False,False,4
körsetme,FF,False,FF|false,e,23,23,True,7,7,True,True,0
kötüre,FF,False,FF|false,e,7,7,True,0,0,False,False,3
küshende,FF,False,FF|false,e,1,1,True,0,0,False,False,0
kütüpxana,BB,False,BB|false,a,10,10,True,3,3,True,True,4
laboratoriye,BF,False,BF|false,e,2,2,True,0,0,False,False,0
lale,BF,True,BF|true,e,1,1,True,0,0,False,False,1
lama,BB,True,BB|true,a,4,4,True,0,0,False,False,3
lata,BB,True,BB|true,a,11,11,True,0,0,False,False,3
lawa,BB,True,BB|true,a,3,3,True,0,0,False,False,3
layihe,BF,True,BF|true,e,206,206,True,288,288,True,True,3
laza,BB,True,BB|true,a,1,1,True,2,2,True,True,1
lehze,FF,True,FF|true,e,2,2,True,0,0,False,False,0
lerze,FF,True,FF|true,e,177,177,True,0,0,False,False,2
lexme,FF,True,FF|true,e,1,0,False,2,1,True,True,4
madda,BB,True,BB|true,a,72,72,True,65,65,True,True,2
maliye,BF,True,BF|true,e,11,11,True,10,10,True,True,1
manta,BB,True,BB|true,a,6,6,True,10,10,True,True,4
maqale,BF,True,BF|true,e,4,4,True,6,6,True,True,4
mashina,BB,True,BB|true,a,137,137,True,50,50,True,True,1
mashna,BB,True,BB|true,a,1,1,True,0,0,False,False,0
massa,BB,True,BB|true,a,4,4,True,3,3,True,True,1
maysa,BB,True,BB|true,a,3,3,True,0,0,False,False,4
medhiye,FF,True,FF|true,e,6,6,True,0,0,False,False,3
medrise,FF,True,FF|true,e,124,124,True,19,19,True,True,2
mehelle,FF,True,FF|true,e,321,321,True,48,48,True,True,1
mejlisxana,BB,True,BB|true,a,2,1,True,0,0,False,False,4
mejmu'e,BF,False,BF|false,e,16,16,True,8,8,True,True,4
menbe,FF,True,FF|true,e,80,80,True,28,28,True,True,0
mepkure,BF,False,BF|false,e,8,8,True,10,10,True,True,0
meqbere,FF,True,FF|true,e,3,3,True,12,12,True,True,4
mersiye,FF,True,FF|true,e,1,1,True,2,2,True,True,0
mertiwe,FF,True,FF|true,e,81,81,True,11,11,True,True,0
mese,FF,True,FF|true,e,1,1,True,3,3,True,True,2
mesle,FF,True,FF|true,e,18,18,True,12,12,True,True,1
mesxire,FF,True,FF|true,e,27,26,True,0,0,False,False,2
metbe'e,FF,True,FF|true,e,25,25,True,6,6,True,True,2
meyde,FF,True,FF|true,e,23,23,True,7,7,True,True,2
meyxana,BB,True,BB|true,a,4,4,True,0,0,False,False,4
miniatyura,BB,False,BB|false,a,2,2,True,2,2,True,True,3
molla,BB,False,BB|false,a,15,15,True,4,4,True,True,0
mora,BB,False,BB|false,a,2,2,True,2,2,True,True,1
mu'amile,BF,False,BF|false,e,397,397,True,30,30,True,True,2
mu'essese,FF,False,FF|false,e,6,6,True,8,8,True,True,1
mudaxile,BF,False,BF|false,e,6,6,True,0,0,False,False,1
muhasire,BF,False,BF|false,e,76,76,True,9,9,True,True,0
mulahize,BF,False,BF|false,e,104,104,True,4,4,True,True,1
muma,BB,False,BB|false,a,1,1,True,1,1,True,True,0
munazire,BF,False,BF|false,e,172,172,True,30,30,True,True,3
muncha,BB,False,BB|false,a,19,19,True,0,0,False,False,0
muqawa,BB,False,BB|false,a,7,7,True,0,0,False,False,3
muqeddime,FF,False,FF|false,e,8,8,True,1,1,True,True,2
murda,BB,False,BB|false,a,6,6,True,19,19,True,True,2
musape,BF,False,BF|false,e,85,85,True,178,178,True,True,2
musha'ire,BF,False,BF|false,e,1,1,True,0,0,False,False,2
méhmanxana,BB,True,BB|true,a,292,259,True,12,12,True,True,2
mélodiye,BF,False,BF|false,e,2,2,True,1,1,True,True,4
möjize,FF,False,FF|false,e,6,6,True,7,7,True,True,1
müre,FF,False,FF|false,e,33,33,True,29,29,True,True,2
nahiye,BF,True,BF|true,e,1041,1041,True,56,56,True,True,3
nale,BF,True,BF|true,e,2,2,True,2,2,True,True,0
namayende,FF,True,FF|true,e,1,1,True,3,3,True,True,4
nashta,BB,True,BB|true,a,14,14,True,1,1,True,True,2
natura,BB,False,BB|false,a,1,1,True,0,0,False,False,0
nawayxana,BB,True,BB|true,a,12,8,True,2,0,True,False,3
naxsha,BB,True,BB|true,a,39,39,True,100,100,True,True,4
nere,FF,True,FF|true,e,30,30,True,0,0,False,False,2
nerse,FF,True,FF|true,e,446,446,True,985,985,True,True,2
nesebname,BF,True,BF|true,e,3,3,True,0,0,False,False,0
neshe,FF,True,FF|true,e,2,2,True,0,0,False,False,4
netije,FF,True,FF|true,e,2552,2552,True,116,116,True,True,1
newre,FF,True,FF|true,e,6,6,True,4,4,True,True,3
neyze,FF,True,FF|true,e,2,2,True,4,4,True,True,2
nezeriye,FF,True,FF|true,e,24,24,True,29,29,True,True,2
nezme,FF,True,FF|true,e,10,10,True,2,2,True,True,3
nizamname,BF,True,BF|true,e,36,36,True,8,8,True,True,2
nota,BB,False,BB|false,a,26,26,True,11,11,True,True,0
noxta,BB,False,BB|false,a,1,1,True,1,1,True,True,0
olja,BB,False,BB|false,a,22,22,True,10,10,True,True,2
opéra,BB,False,BB|false,a,1,1,True,2,2,True,True,2
opératsiye,BF,False,BF|false,e,15,15,True,5,5,True,True,2
orbita,BB,False,BB|false,a,17,17,True,0,0,False,False,0
orda,BB,False,BB|false,a,107,107,True,21,21,True,True,1
orma,BB,False,BB|false,a,2,2,True,0,0,False,False,4
ottura,BB,False,BB|false,a,11531,11531,True,54,54,True,True,2
otunxana,BB,False,BB|false,a,2,1,True,0,0,False,False,1
oyma,BB,False,BB|false,a,1,1,True,0,0,False,False,0
oyunxana,BB,False,BB|false,a,7,7,True,0,0,False,False,2
pada,BB,True,BB|true,a,16,16,True,3,3,True,True,1
pahishe,BF,True,BF|true,e,2,2,True,1,1,True,True,2
pahishixana,BB,True,BB|true,a,2,2,True,0,0,False,False,4
palata,BB,True,BB|true,a,54,54,True,2,2,True,True,3
palla,BB,True,BB|true,a,9,9,True,0,0,False,False,0
palta,BB,True,BB|true,a,4,4,True,17,17,True,True,3
pana,BB,True,BB|true,a,7,7,True,0,0,False,False,1
parische,BF,True,BF|true,e,6,6,True,0,0,False,False,0
parsche,BF,True,BF|true,e,10,10,True,7,7,True,True,4
parta,BB,True,BB|true,a,47,47,True,1,1,True,True,0
partiye,BF,True,BF|true,e,263,263,True,100,100,True,True,1
pasha,BB,True,BB|true,a,3,3,True,1,1,True,True,3
pasxa,BB,True,BB|true,a,3,0,False,2,0,True,False,4
paxta,BB,True,BB|true,a,24,21,True,53,40,True,True,2
payda,BB,True,BB|true,a,115,115,True,82,82,True,True,0
pede,FF,True,FF|true,e,12,12,True,8,8,True,True,1
pelle,FF,True,FF|true,e,719,719,True,17,17,True,True,3
pelsepe,FF,True,FF|true,e,23,23,True,14,14,True,True,0
penje,FF,True,FF|true,e,1,1,True,0,0,False,False,4
perde,FF,True,FF|true,e,2,2,True,15,15,True,True,1
perishte,FF,True,FF|true,e,6,6,True,2,2,True,True,1
perwane,BF,True,BF|true,e,4,4,True,1,1,True,True,1
pete,FF,True,FF|true,e,5,5,True,1,1,True,True,3
petiwa,FB,True,FB|true,a,3,3,True,6,6,True,True,1
peyshenbe,FF,True,FF|true,e,1,1,True,1,1,True,True,3
piramida,BB,True,BB|true,a,1,1,True,1,1,True,True,2
pirogramma,BB,False,BB|false,a,5,5,True,6,6,True,True,2
piroza,BB,False,BB|false,a,1,1,True,0,0,False,False,1
piyale,BF,True,BF|true,e,15,15,True,7,7,True,True,2
pochta,BB,False,BB|false,a,30,30,True,0,0,False,False,0
pochtixana,BB,False,BB|false,a,6,5,True,0,0,False,False,3
pota,BB,False,BB|false,a,5,5,True,3,3,True,True,2
potla,BB,False,BB|false,a,1,1,True,0,0,False,False,4
pozitsiye,BF,False,BF|false,e,171,171,True,19,19,True,True,4
programma,BB,False,BB|false,a,460,460,True,243,243,True,True,3
proza,BB,False,BB|false,a,9,9,True,3,3,True,True,3
péshane,BF,True,BF|true,e,2,2,True,0,0,False,False,2
qa'ide,BF,True,BF|true,e,88,88,True,24,24,True,True,4
qacha,BB,True,BB|true,a,50,50,True,11,11,True,True,4
qamaqxana,BB,True,BB|true,a,188,188,True,0,0,False,False,1
qamcha,BB,True,BB|true,a,3,3,True,4,4,True,True,1
qapiye,BF,True,BF|true,e,6,6,True,1,1,True,True,0
qarawulxana,BB,False,BB|false,a,21,21,True,1,1,True,True,0
qasha,BB,True,BB|true,a,3,3,True,1,1,True,True,1
qassapxana,BB,True,BB|true,a,1,1,True,0,0,False,False,0
qawaqxana,BB,True,BB|true,a,8,6,True,0,0,False,False,0
qaycha,BB,True,BB|true,a,1,1,True,1,1,True,True,2
qaza,BB,True,BB|true,a,9,9,True,0,0,False,False,0
qazanxana,BB,True,BB|true,a,1,0,False,0,0,False,False,0
qebile,FF,True,FF|true,e,39,39,True,15,15,True,True,4
qebre,FF,True,FF|true,e,148,148,True,82,82,True,True,4
qehwexana,BB,True,BB|true,a,7,7,True,1,1,True,True,4
qeside,FF,True,FF|true,e,2,2,True,0,0,False,False,2
qetre,FF,True,FF|true,e,3,3,True,1,1,True,True,0
qimarxana,BB,True,BB|true,a,8,8,True,1,1,True,True,1
qobulxana,BB,False,BB|false,a,18,3,True,1,0,True,False,3
qomanda,BB,False,BB|false,a,1,1,True,0,0,False,False,4
qorma,BB,False,BB|false,a,1,1,True,0,0,False,False,1
qoyma,BB,False,BB|false,a,8,8,True,2,2,True,True,2
qoza,BB,False,BB|false,a,2,2,True,9,9,True,True,3
quda,BB,False,BB|false,a,1,1,True,1,1,True,True,3
qure,BF,False,BF|false,e,13,13,True,3,3,True,True,0
qurulma,BB,False,BB|false,a,50,50,True,36,36,True,True,0
qushxana,BB,False,BB|false,a,3,3,True,0,0,False,False,1
resetxana,BB,True,BB|true,a,2,2,True,0,0,False,False,2
reste,FF,True,FF|true,e,5,5,True,0,0,False,False,2
risale,BF,True,BF|true,e,9,9,True,5,5,True,True,3
rota,BB,False,BB|false,a,14,14,True,1,1,True,True,4
ruda,BB,False,BB|false,a,1,1,True,3,3,True,True,3
rémontxana,BB,False,BB|false,a,1,1,True,0,0,False,False,1
sada,BB,True,BB|true,a,14,14,True,13,13,True,True,1
sahabe,BF,True,BF|true,e,2,2,True,4,4,True,True,4
sahe,BF,True,BF|true,e,880,880,True,59,59,True,True,1
sahibxana,BB,True,BB|true,a,1,1,True,2,2,True,True,3
sala,BB,True,BB|true,a,1,1,True,2,2,True,True,2
samanxana,BB,True,BB|true,a,2,2,True,1,1,True,True,3
samsixana,BB,True,BB|true,a,1,1,True,0,0,False,False,1
sanatoriye,BF,False,BF|false,e,6,6,True,0,0,False,False,2
sapa,BB,True,BB|true,a,27,27,True,18,18,True,True,4
saqchixana,BB,True,BB|true,a,484,483,True,10,10,True,True,0
sarasime,BF,True,BF|true,e,96,96,True,1,1,True,True,4
satira,BB,True,BB|true,a,1,1,True,0,0,False,False,1
satirashxana,BB,True,BB|true,a,3,3,True,0,0,False,False,1
saye,BF,True,BF|true,e,14,14,True,0,0,False,False,0
saza,BB,True,BB|true,a,2,2,True,13,13,True,True,3
sazende,FF,True,FF|true,e,3,3,True,5,5,True,True,3
sehipe,FF,True,FF|true,e,37,37,True,30,30,True,True,4
sehiye,FF,True,FF|true,e,1,1,True,0,0,False,False,1
sehne,FF,True,FF|true,e,1103,1103,True,35,35,True,True,1
sehra,FB,True,FB|true,a,15,15,True,1,1,True,True,0
sejde,FF,True,FF|true,e,13,13,True,2,2,True,True,4
sepsete,FF,True,FF|true,e,6,6,True,27,27,True,True,3
serkerde,FF,True,FF|true,e,1,1,True,1,1,True,True,0
serlewhe,FF,True,FF|true,e,12,12,True,0,0,False,False,4
sewda,FB,True,FB|true,a,1,1,True,0,0,False,False,2
sewiye,FF,True,FF|true,e,565,565,True,30,30,True,True,1
sewze,FF,True,FF|true,e,2,2,True,5,5,True,True,1
seyle,FF,True,FF|true,e,42,42,True,0,0,False,False,1
seyshenbe,FF,True,FF|true,e,1,1,True,0,0,False,False,4
shala,BB,True,BB|true,a,6,6,True,7,7,True,True,4
sharche,BF,True,BF|true,e,1,1,True,0,0,False,False,0
sharqiratma,BB,True,BB|true,a,1,1,True,0,0,False,False,0
shemsiye,FF,True,FF|true,e,1,1,True,0,0,False,False,4
shenbe,FF,True,FF|true,e,2,2,True,1,1,True,True,1
shepe,FF,True,FF|true,e,3,3,True,3,3,True,True,1
shertname,BF,True,BF|true,e,28,28,True,15,15,True,True,4
shikayetname,BF,True,BF|true,e,7,7,True,1,1,True,True,1
shilepe,FF,True,FF|true,e,1,1,True,1,1,True,True,1
shipaxana,BB,True,BB|true,a,19,19,True,1,1,True,True,3
shiraza,BB,True,BB|true,a,1,1,True,0,0,False,False,1
shorpa,BB,False,BB|false,a,6,6,True,2,2,True,True,4
shota,BB,False,BB|false,a,2,2,True,2,2,True,True,0
shoyna,BB,False,BB|false,a,2,2,True,1,1,True,True,0
shöbe,FF,False,FF|false,e,2,2,True,0,0,False,False,3
shübhe,FF,False,FF|false,e,6,6,True,2,2,True,True,4
simfoniye,BF,False,BF|false,e,2,2,True,2,2,True,True,1
sofa,BB,False,BB|false,a,1,1,True,1,1,True,True,4
solaqxana,BB,False,BB|false,a,18,18,True,0,0,False,False,3
soraqxana,BB,False,BB|false,a,15,15,True,1,1,True,True,1
sotxana,BB,False,BB|false,a,3,3,True,0,0,False,False,2
studiye,BF,False,BF|false,e,1,1,True,0,0,False,False,4
sulale,BF,False,BF|false,e,10,10,True,11,11,True,True,4
supa,BB,False,BB|false,a,42,42,True,2,2,True,True,3
sélishturma,BB,False,BB|false,a,7,7,True,8,8,True,True,3
sénariye,BF,True,BF|true,e,4,4,True,2,2,True,True,2
sümbe,FF,False,FF|false,e,3,3,True,0,0,False,False,2
