"window_id"	"band_lower_hz"	"score_variant"	"median_delta"	"development_gate_pass"
"fixed_L20_O+5"	1000	"leave_flatness_out"	"212604510571/500000000000"	"YES"
"fixed_L20_O+5"	1000	"leave_high_low_out"	"9734780177/31250000000"	"YES"
"fixed_L20_O+5"	1000	"leave_zcr_out"	"439440920141/1000000000000"	"YES"
"fixed_L30_O+0"	500	"full"	"104962913681/250000000000"	"YES"
"fixed_L30_O+0"	500	"leave_flatness_out"	"196208203373/500000000000"	"YES"
"fixed_L30_O+0"	500	"leave_high_low_out"	"379250238781/1000000000000"	"YES"
"fixed_L30_O+0"	500	"leave_zcr_out"	"468836790927/1000000000000"	"YES"
"fixed_L30_O+0"	1000	"full"	"164987939347/500000000000"	"YES"
"fixed_L30_O+0"	1000	"leave_flatness_out"	"37096320423/100000000000"	"YES"
"fixed_L30_O+0"	1000	"leave_high_low_out"	"104132419533/250000000000"	"YES"
"fixed_L30_O+0"	1000	"leave_zcr_out"	"64071937523/200000000000"	"YES"
"fixed_L30_O+10"	500	"full"	"131202181953/200000000000"	"NO"
"fixed_L30_O+10"	500	"leave_flatness_out"	"257498236953/500000000000"	"NO"
"fixed_L30_O+10"	500	"leave_high_low_out"	"63274839331/125000000000"	"YES"
"fixed_L30_O+10"	500	"leave_zcr_out"	"169152263789/250000000000"	"NO"
"fixed_L30_O+10"	1000	"full"	"114943227587/250000000000"	"YES"
"fixed_L30_O+10"	1000	"leave_flatness_out"	"469879914709/1000000000000"	"YES"
"fixed_L30_O+10"	1000	"leave_high_low_out"	"81953953403/250000000000"	"YES"
"fixed_L30_O+10"	1000	"leave_zcr_out"	"378998635223/1000000000000"	"NO"
"fixed_L30_O+5"	500	"full"	"249508074327/500000000000"	"YES"
"fixed_L30_O+5"	500	"leave_flatness_out"	"20162396341/40000000000"	"NO"
"fixed_L30_O+5"	500	"leave_high_low_out"	"410392337139/1000000000000"	"YES"
"fixed_L30_O+5"	500	"leave_zcr_out"	"327498311029/500000000000"	"YES"
"fixed_L30_O+5"	1000	"full"	"191715297911/500000000000"	"YES"
"fixed_L30_O+5"	1000	"leave_flatness_out"	"214918226811/500000000000"	"YES"
"fixed_L30_O+5"	1000	"leave_high_low_out"	"349716340311/1000000000000"	"YES"
"fixed_L30_O+5"	1000	"leave_zcr_out"	"42325128013/125000000000"	"YES"
"fixed_L40_O+10"	500	"full"	"561857588283/1000000000000"	"YES"
"fixed_L40_O+10"	500	"leave_flatness_out"	"98367866701/200000000000"	"NO"
"fixed_L40_O+10"	500	"leave_high_low_out"	"427715908063/1000000000000"	"YES"
"fixed_L40_O+10"	500	"leave_zcr_out"	"157754837427/200000000000"	"NO"
"fixed_L40_O+10"	1000	"full"	"86955430237/200000000000"	"YES"
"fixed_L40_O+10"	1000	"leave_flatness_out"	"34480369/80000000"	"YES"
"fixed_L40_O+10"	1000	"leave_high_low_out"	"35134285809/125000000000"	"YES"
"fixed_L40_O+10"	1000	"leave_zcr_out"	"20127863219/50000000000"	"YES"
"fixed_L40_O+5"	500	"full"	"479412814433/1000000000000"	"YES"
"fixed_L40_O+5"	500	"leave_flatness_out"	"118817859767/250000000000"	"NO"
"fixed_L40_O+5"	500	"leave_high_low_out"	"355823117209/1000000000000"	"YES"
"fixed_L40_O+5"	500	"leave_zcr_out"	"745534267143/1000000000000"	"YES"
"fixed_L40_O+5"	1000	"full"	"362903026159/1000000000000"	"YES"
"fixed_L40_O+5"	1000	"leave_flatness_out"	"25397811287/62500000000"	"YES"
"fixed_L40_O+5"	1000	"leave_high_low_out"	"305575262363/1000000000000"	"YES"
"fixed_L40_O+5"	1000	"leave_zcr_out"	"74904322507/200000000000"	"YES"
