"inventory_number"	"cell"	"target_hanzi_interval_1based"	"occurrence_ordinal_within_cell"	"construction_scope_class"	"original_predicted_category"	"original_observed_category"	"original_decision"	"corrected_predicted_category"	"corrected_decision"
2788	"BARE"	17	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2856	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2914	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
2994	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3053	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3215	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3401	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3423	"BARE"	17	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3452	"BARE"	15	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3465	"BARE"	18	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3487	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3494	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3499	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3603	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3608	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3703	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3814	"BARE"	15	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
3851	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4026	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4077	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4306	"ORDINAL"	12	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T2"	"COUNTEREXAMPLE"	"YI_T1"	"COUNTEREXAMPLE"
4612	"ORDINAL"	12	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T2"	"COUNTEREXAMPLE"	"YI_T1"	"COUNTEREXAMPLE"
4695	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4734	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4756	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
4852	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5144	"BARE"	17	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5176	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5177	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5187	"BARE"	21	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5197	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5284	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5306	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5321	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5331	"ORDINAL"	3	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T2"	"COUNTEREXAMPLE"	"YI_T1"	"COUNTEREXAMPLE"
5364	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5375	"BARE"	16	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5443	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5467	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5564	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5632	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5743	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5776	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5787	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5804	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5812	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5812	"BARE"	14	2	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
5970	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6033	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6042	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6090	"BARE"	21	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6129	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6152	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6220	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6240	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6347	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6440	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6480	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6523	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6591	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6652	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6656	"BARE"	12	1	"AMBIGUOUS_OR_OUTSIDE_SCOPE"	"YI_T2"	"YI_T1"	"COUNTEREXAMPLE"	"NO_PREDICTION"	"NO_CONCLUSION_SCOPE"
6758	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6816	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
6981	"ORDINAL"	9	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T2"	"COUNTEREXAMPLE"	"YI_T1"	"COUNTEREXAMPLE"
6998	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7004	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7046	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7085	"BARE"	13	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7186	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7274	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7286	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7414	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7463	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7590	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7606	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7645	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7695	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7716	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
7848	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8124	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8197	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8252	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8254	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8290	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8308	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8415	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8499	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8559	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8561	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8582	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8608	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8674	"BARE"	13	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8684	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8732	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8756	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8908	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
8976	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9015	"BARE"	19	1	"CLEAR_COMPLEX_LAST_DIGIT"	"YI_T2"	"YI_T1"	"COUNTEREXAMPLE"	"YI_T1"	"MATCH"
9147	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9231	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9235	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9261	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9356	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9409	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9416	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9578	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9614	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9710	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9724	"BARE"	9	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
9744	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10044	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10071	"ORDINAL"	19	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T1"	"MATCH"	"YI_T1"	"MATCH"
10159	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10203	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10229	"BARE"	15	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10307	"ORDINAL"	3	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T2"	"COUNTEREXAMPLE"	"YI_T1"	"COUNTEREXAMPLE"
10310	"BARE"	18	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10339	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10349	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10370	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10374	"BARE"	16	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10434	"BARE"	14	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10477	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10557	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10678	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10704	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10725	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10755	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10876	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
10988	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11051	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11227	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11249	"ORDINAL"	12	1	"ORDINAL_ABSOLUTE"	"YI_T1"	"YI_T1"	"MATCH"	"YI_T1"	"MATCH"
11380	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11476	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11616	"BARE"	5	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11658	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11671	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11676	"BARE"	17	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11692	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11900	"BARE"	13	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11900	"BARE"	18	2	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11923	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11934	"BARE"	7	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11935	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11953	"BARE"	4	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11959	"BARE"	11	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
11967	"BARE"	12	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12120	"BARE"	10	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12144	"BARE"	23	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12159	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12195	"BARE"	3	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12239	"BARE"	16	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12306	"BARE"	8	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12448	"BARE"	6	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12522	"BARE"	2	1	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
12522	"BARE"	10	2	"CLEAR_SIMPLEX"	"YI_T2"	"YI_T2"	"MATCH"	"YI_T2"	"MATCH"
